id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1108370477137960963,2019-03-20 14:11:28,"b'To mark 1000 days since the EU referendum, government releases comprehensive recap of everything achieved so far: https://t.co/Lien2pA2wG'",3866,10100,1,0,Conservative,0.0
1108017331324637185,2019-03-19 14:48:12,b'I really believe that social media is what you make of it! Instagram gets a bad wrap because - for the most part -\xe2\x80\xa6 https://t.co/Yy8dMsTVDz',20,114,0,1,Non-Aligned,-0.5423
1107062288064958467,2019-03-16 23:33:12,b'@astro_jje https://t.co/dvC6nLhKFJ',5,24,1,0,Non-Aligned,0.0
1106483044486131714,2019-03-15 09:11:29,"b'Chemical crystallographers: the weirdest pseudo-symmetry problem EVER (monoclinic \xce\xb2 = 90.000(1)\xc2\xb0), impossible to so\xe2\x80\xa6 https://t.co/Vt1ewe5Nq4'",2,22,0,1,Non-Aligned,-0.5574
1105922620292296704,2019-03-13 20:04:34,"b""Implement your #science mindset into your daily life. If you're not intimidated by but instead attracted to what yo\xe2\x80\xa6 https://t.co/J5gD6e4Emj""",8,49,0,1,Non-Aligned,0.3612
1105906852917903367,2019-03-13 19:01:55,b'This! Why do people find it so hard to believe that you can do science AND have a dress sense?? You go\xe2\x80\xa6 https://t.co/IVgb6K6feZ',3,44,0,1,Non-Aligned,-0.1027
1105636804915388417,2019-03-13 01:08:50,b'When someone says you don\xe2\x80\x99t look like a #scientist because you colour coordinated your #outfit to your accessories\xe2\x80\xa6 https://t.co/P6AH4vWGOE',2,42,0,1,Non-Aligned,0.3612
1103277469778526208,2019-03-06 12:53:41,"b'The longer I spend around science/scientists, the more I appreciate spaces where becoming a scientist (aside from b\xe2\x80\xa6 https://t.co/hLxpjxQEbj'",24,253,0,1,Non-Aligned,0.0
1101211928981131265,2019-02-28 20:05:58,b'2017: I became a police man\n2018: I founded a charity \n2019: I really want to see a proper museum in Aberdeen. Next\xe2\x80\xa6 https://t.co/j4h1LINwhi',0,8,0,1,Conservative,0.0772
1100357723529580544,2019-02-26 11:31:39,"b""Can we get the fuck off of @jameelajamil's back? I don't know when it became 'cool' to absolutely tear this woman a\xe2\x80\xa6 https://t.co/87Up0fWrfz""",2,7,0,1,Non-Aligned,-0.6664
1100082605477822464,2019-02-25 17:18:26,b'Using @aframevr &amp; @CesiumJS in my University Honours Project to demonstrate the use of immersive and portable visua\xe2\x80\xa6 https://t.co/s6f4dsf0SC',5,24,0,1,Non-Aligned,0.5719
1099333415449620480,2019-02-23 15:41:25,"b'I wish politicians would just do their jobs - which in Mr Hunts case is to read his bloody brief, smile and not off\xe2\x80\xa6 https://t.co/hqWq0D2pgk'",1393,6585,0,1,UKIP,0.6369
1097513774800605184,2019-02-18 15:10:49,"b'Hello my name is Paul, I have a PhD in physics and thanks to a random brain freeze forgot the word for photon so ha\xe2\x80\xa6 https://t.co/wBzix7oH9U'",12480,88646,0,1,Non-Aligned,0.3612
1097450727193149440,2019-02-18 11:00:17,"b""Honestly the most well organised open audition I've ever been to, thank you @DearEvanHansen for having us and\xe2\x80\xa6 https://t.co/8hj39jORxU""",3,15,0,1,Labour,0.5574
1095314234286714880,2019-02-12 13:30:38,b'I have 6 chapters left to write in Eve of Man BOOK 2!!!!! \xf0\x9f\x98\xb1 \n\nIf you haven\xe2\x80\x99t read book 1 yet then read now and book\xe2\x80\xa6 https://t.co/fDXIHIagAD',22,615,0,1,Non-Aligned,0.0
1093480591411105792,2019-02-07 12:04:23,b'Oh hey Mum and Dad that\xe2\x80\x99s me \xf0\x9f\x91\x8b Lovely to see this after two days at sea \xf0\x9f\x92\x83\xf0\x9f\x98\x8d https://t.co/n35uRBeQS6',2,60,0,1,Non-Aligned,0.6369
1091615539624058880,2019-02-02 08:33:20,b'@cloweddelll @_lucyeleanor @moemufcattia @catreynoldss Until standards of living are SOLID for a BORN child we shou\xe2\x80\xa6 https://t.co/sTkcFhnKSo',5,64,0,1,Non-Aligned,0.1531
1085891718300487680,2019-01-17 13:28:55,"b'Listening to the News, I can\xe2\x80\x99t help coming to the tentative conclusion that J. Corbyn and T. May might not be the p\xe2\x80\xa6 https://t.co/HEXRTl331I'",2474,18301,0,1,LibDem,0.4019
