id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1108786440207589377,2019-03-21 17:44:22,b'RT @Imogenation_: NEW MOVING VLOG HUNS!\nhttps://t.co/LOG1YbElbq https://t.co/keXL6SI4By',171,0,1,1,Non-Aligned
1108503685229875201,2019-03-20 23:00:48,b'RT @XOluozz: RT for goodluck!\nIgnore you\xe2\x80\x99ll be cursed all 2019 https://t.co/3f0lWZBKa1',148390,0,1,0,Non-Aligned
1105543991473377280,2019-03-12 19:00:02,b'RT @Imogenation_: Decluttering my makeup collection &amp; GIVEAWAY!!\nhttps://t.co/Ry1aC1usNk https://t.co/jifKSYHT2H',915,0,1,1,Non-Aligned
1103694465166966787,2019-03-07 16:30:40,"b""@YodelOnline received an email to say my parcel has delivered but got no parcel and there's no note to say who has it???? @Missguided""",0,0,0,0,Labour
1099922959274250241,2019-02-25 06:44:03,b'RT @the_zalfa: This thing works!!!!! I can\xe2\x80\x99t believe it \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/nfoqKSFDJN',194502,0,1,0,Non-Aligned
1097213814540562445,2019-02-17 19:18:53,b'The fun of viewing flats is now is really wearing off\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84',0,1,0,0,Non-Aligned
1090364082702696453,2019-01-29 21:40:29,"b""So gutted me and Johnny didn't get the flat we wanted \xf0\x9f\x98\x9e\xf0\x9f\x98\x9e\xf0\x9f\x98\x9e""",0,1,0,0,Non-Aligned
1080584170534068230,2019-01-02 21:58:37,"b'I am so excited for my miller and Carter on saturday, my life is that sad'",0,2,0,0,Non-Aligned
1080167686208933889,2019-01-01 18:23:39,b'RT @brianamims1: fuck no baby. https://t.co/aAlvy2WlKg',55090,0,0,1,Non-Aligned
1078719250741841920,2018-12-28 18:28:05,b'RT @holaaa_lolaa: All I\xe2\x80\x99m gonna say is y\xe2\x80\x99all better RT... https://t.co/MKbm5w9Kob',147136,0,1,0,Non-Aligned
1076252222391025665,2018-12-21 23:05:00,b'RT @sparkssfly13: Can\xe2\x80\x99t take no chance https://t.co/6u0j3NE5or',96436,0,1,0,Non-Aligned
1075145204892618752,2018-12-18 21:46:06,b'RT @GisselleMelchor: retweet or 2019 is going to be filled with bad luck https://t.co/wCyHLcMtRe',150153,0,1,0,Conservative
1073888282998644736,2018-12-15 10:31:33,b'Today I sprayed my prep primer on my body and my perfume on my face #startthedayasimeantogoon',0,1,0,0,Non-Aligned
1066714931146428427,2018-11-25 15:27:12,"b""Can't believe the Harry Potter Museum tour in London is already fully booked for January \xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5""",0,0,0,0,Non-Aligned
1055123391760527365,2018-10-24 15:46:34,b'RT @KhairulAyiem: Im not gonna risk this anymore https://t.co/Csm0wZlg08',123115,0,0,1,Non-Aligned
1054079507982938112,2018-10-21 18:38:33,b'RT @jxde00: Rt or 60 years of bad luck https://t.co/KifQ4MoJmm',189501,0,1,0,SNP
1050122612876152837,2018-10-10 20:35:15,"b'RT @ye_son_: person: it smells like up-dog in here\n\nme, always too embarrassed to ask questions: haha yeah'",12673,0,0,0,Non-Aligned
