id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1108263354202759170,2019-03-20 07:05:48,"b'RT @ASmallFiction: ""My magic amulet stops time! I\'ll get so much done!"" he said.\n\n""Not procrastinate longer?"" she said.\n\n""What? No,"" he sai\xe2\x80\xa6'",638,0,0,0,LibDem
1108262708854620162,2019-03-20 07:03:14,b'@PhantomPower14 Sounds like he\xe2\x80\x99s mislaid his shopping.',0,0,0,0,Non-Aligned
1108262464808984576,2019-03-20 07:02:16,b'RT @seanjonesqc: Brexiters imagined this would be the moment when Jonny Foreigner looked across the poker table and into our flint grey eye\xe2\x80\xa6',1002,0,0,0,Labour
1108257710519345152,2019-03-20 06:43:23,"b'@garius If it ain\xe2\x80\x99t broke, don\xe2\x80\x99t fix it.'",0,3,0,0,Non-Aligned
1108126986747154432,2019-03-19 22:03:56,"b'RT @OfficialBagpuss: \xe2\x80\x9cWe will find it, we will bind it,\nWe will stick it with glue, glue, glue\nWe will stickle it\nEvery little bit of it\nWe\xe2\x80\xa6'",1336,0,0,0,Conservative
1108126311111897089,2019-03-19 22:01:15,b'RT @ProfStrachan: Excellent News\n\nGreta Thunberg nominated for #NobelPeacePrize\n\n\xe2\x80\x9cWe have proposed\xc2\xa0@GretaThunberg because if we do nothing\xe2\x80\xa6',345,0,0,0,Green
1107599116723515394,2019-03-18 11:06:22,"b'RT @chrisgreybrexit: Damning indictment of UK handling of Brexit from @seanwhelanRTE: ""The celebration of the unlearned by the unprincipled\xe2\x80\xa6'",236,0,0,0,Green
1107362814317023232,2019-03-17 19:27:23,"b'RT @RogueCoder250: The best argument against the GERS ""deficit"" that I\'ve heard:\n\n""If you transferred most of the Danish government\'s funct\xe2\x80\xa6'",380,0,0,0,SNP
1107362636700807170,2019-03-17 19:26:41,b'@parkertron @AnnaAnnaou He has come as briefly as possible.',0,0,0,0,Non-Aligned
1107295910776786944,2019-03-17 15:01:32,"b'RT @DPhinnemore: Dutch eurocrat: \xe2\x80\x9cThis is the most boring crisis ever... It just goes on and on and on, about the same thing. And, you know\xe2\x80\xa6'",1005,0,0,0,Labour
