id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1110868899292217344,2019-03-27 11:39:19,b'Cheers boss \xf0\x9f\x98\xa2\xf0\x9f\x98\x98 https://t.co/bna2MBWVuG',173,1173,0,1,Democratic,0.5106
1110866414947188736,2019-03-27 11:29:26,"b'@NicolaSturgeon @AlynSmith Like the light the Scottish Government has been for immigrants here. A hopeful voice, in\xe2\x80\xa6 https://t.co/e7th7g8TrE'",29,172,0,1,Democratic,0.7783
1110498442416148480,2019-03-26 11:07:15,b'Massively excited to be taking over as @heraldscotland\xe2\x80\x99s literary editor from next week. Heartfelt thanks to\xe2\x80\xa6 https://t.co/vi313tvJWK',35,380,0,1,Republican,0.7184
1110288106291453952,2019-03-25 21:11:27,"b'What a privilege to have represented @theSNP this evening, speaking particularly about the experience of young wome\xe2\x80\xa6 https://t.co/ZOoiMXKFW1'",63,334,0,1,Democratic,0.0
1109948952164683777,2019-03-24 22:43:46,"b'So proud to now be a member of @theSNP - I was a no voter in 2014 and now, I couldn\xe2\x80\x99t be more yes. The SNP have bee\xe2\x80\xa6 https://t.co/Jtx8EmJHe5'",492,2434,0,1,Democratic,0.4767
1109757343355539461,2019-03-24 10:02:23,"b""@LucyShaddock @MeanwhileScotia @scotgov @theSNP @NicolaSturgeon Lucy he just loves reading! It's unreal! Maybe FM\xe2\x80\xa6 https://t.co/nkTsKQFdBE""",0,14,0,1,Non-Aligned,0.6369
1109537732173463554,2019-03-23 19:29:44,b'@MhairiHunter There were some genuine SNP banners there too https://t.co/5ntpFJjBMn',4,25,1,0,Non-Aligned,0.0
1109506930429648901,2019-03-23 17:27:20,"b""Pleasure all mine. No one will tell us we're not citizens of Europe. https://t.co/RvxzKGr3QS""",2884,22738,0,1,Republican,0.0
1109492434143272960,2019-03-23 16:29:44,"b'A real honour to speak out today for the NHS at #PeoplesVoteMarch \xf0\x9f\x92\xa5\n\nYou can be pro-Brexit, or pro-NHS, but not bot\xe2\x80\xa6 https://t.co/bFaxR5WI8N'",1290,5086,0,1,Non-Aligned,0.7845
1109472690115670016,2019-03-23 15:11:16,"b""Thanks to clear safety instructions I know my boy is now too big to sleep in his baby box any longer but it's makin\xe2\x80\xa6 https://t.co/sSy6PLsZ4W""",306,1345,0,1,Republican,0.6249
1109444751038824448,2019-03-23 13:20:15,"b""There are two little girls in Waterstones gasping when they spot certain books and I'm nearly happy crying at the s\xe2\x80\xa6 https://t.co/oj4DQ1hN3c""",22,420,0,1,Non-Aligned,0.2732
1109101231497232384,2019-03-22 14:35:14,b'This has made my day!!! Popped into @womenslibrary with a surgery poster and bumped into @holliepoetry and\xe2\x80\xa6 https://t.co/j1QLOpacV9',14,114,0,1,Non-Aligned,0.34
1109021598781186048,2019-03-22 09:18:48,"b""We can't wait to welcome @Sanitreeindia to Brussels! Meetings with EU stakeholders will allow the project to share\xe2\x80\xa6 https://t.co/e6ggH5ExOO""",6,52,0,1,Non-Aligned,0.2263
1108776113575215117,2019-03-21 17:03:20,b'Visiting \xe2\x81\xa6@NicolaSturgeon\xe2\x81\xa9 today in Edinburgh to hand her our \xe2\x81\xa6@IIPP_UCL\xe2\x81\xa9 new report on guiding the mission-Oriente\xe2\x80\xa6 https://t.co/gAsmpZ6Ggq',125,450,0,1,Non-Aligned,0.4939
1108456148557070339,2019-03-20 19:51:54,b'Very long but BRAVE post from me today. \n\nKnow the beauty of balance. \n\nChoose to love your life even through the d\xe2\x80\xa6 https://t.co/Ffqmc5unVO',6,31,0,1,Non-Aligned,0.8225
1108272947955986432,2019-03-20 07:43:56,"b'What I will be reading as soon as I get my hands on it. Ali Smith is the greatest living Scottish novelist, no ques\xe2\x80\xa6 https://t.co/XyPEaj8p7L'",45,323,0,1,Democratic,0.8126
1107310807237492737,2019-03-17 16:00:43,b'@MonicaLennon7 @CCriadoPerez @NicolaSturgeon @CPGWomensHealth @ScotParl @BHFScotland And here\xe2\x80\x99s Prof Berry\xe2\x80\x99s provoc\xe2\x80\xa6 https://t.co/p3hw27FxKT',2,4,0,1,Non-Aligned,0.0
1107283384219385857,2019-03-17 14:11:45,b'@NicolaSturgeon @SunScotNational Glad you\xe2\x80\x99re enjoying ... we\xe2\x80\x99re pretty proud of it',1,29,0,0,Republican,0.8519
1107213724769808384,2019-03-17 09:34:57,b'@NicolaSturgeon Well you\xe2\x80\x99ve got one more vote this time than you did before. \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa',3,93,0,0,Democratic,0.2732
1107069861564428288,2019-03-17 00:03:18,"b'At last, a trophy to take back from Twickenham. Thanks for all your support this season #rollercoaster https://t.co/8ZBD2Rgnu0'",615,7955,1,0,Republican,0.6369
1106913674751590402,2019-03-16 13:42:40,b'@AnneMcGuire97 @GrahamGGrant I know @NicolaSturgeon loved it too',0,2,0,0,Non-Aligned,0.6369
1106903935732854784,2019-03-16 13:03:58,b'@NicolaSturgeon @CCriadoPerez It\xe2\x80\x99s an incredible book. I like to think that I have a good grasp on feminist issues\xe2\x80\xa6 https://t.co/sZp8HdBnfs',0,16,0,1,Non-Aligned,0.6597
1106890874687053824,2019-03-16 12:12:04,b'Looking forward to welcoming @CCriadoPerez to @AyeWrite 2 weeks today to discuss this book @NicolaSturgeon. Appeari\xe2\x80\xa6 https://t.co/WepOCWuVlC',10,40,0,1,Non-Aligned,0.0
1106872131424526347,2019-03-16 10:57:35,b'Beautifully expressed statement about modern Ireland from @Paschald https://t.co/K3DDP1XQmU',33,129,0,1,Non-Aligned,0.0
1106801433226215424,2019-03-16 06:16:39,b'@maggi_morrison @NicolaSturgeon @CCriadoPerez Totally agree - and let\xe2\x80\x99s not forget it\xe2\x80\x99s not just women who are affe\xe2\x80\xa6 https://t.co/n3IsrHLi8f',0,7,0,1,Republican,-0.2263
1106665684405272576,2019-03-15 21:17:14,b'Just ordered my copy @CCriadoPerez \xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/iqmelEAIe2',1,13,0,1,Non-Aligned,0.0
1106650607664807936,2019-03-15 20:17:20,b'@NicolaSturgeon @CCriadoPerez Absolutely. Already factoring in to help inform our thinking for the @NACWGScot work\xe2\x80\xa6 https://t.co/4ttH1xF6qK',0,21,0,1,Non-Aligned,0.4019
