id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1110124646068834304,2019-03-25 10:21:55,"b'""Why isn\'t Jeremy Corbyn better at making fun of Rees-Mogg\'s son and IDS\' Car""  really is an argument from an alter\xe2\x80\xa6 https://t.co/F9zATOdaBp'",56,260,0,1,LibDem,-0.1546
1109949084775956480,2019-03-24 22:44:18,b'I could be wrong but I think the Tories will come to miss Theresa May if she does go. Easy to forget she took them\xe2\x80\xa6 https://t.co/IzLTLNf37q',15,149,0,1,Labour,-0.6808
1109825074767511552,2019-03-24 14:31:32,"b""They're not running the campaign; discredited centre-right hacks are. Otherwise, we'd be having a v different conve\xe2\x80\xa6 https://t.co/mJVz2cN46P""",88,454,0,1,Labour,0.0
1109798806894321664,2019-03-24 12:47:09,"b'*White-Middle class media man voice*: \n\n""Why the hell is Corbyn campaigning for local elections (that are coming up\xe2\x80\xa6 https://t.co/9m3wuDUXGK'",508,2083,0,1,Labour,-0.6808
1109527781862526977,2019-03-23 18:50:11,b'@mrjamesob @OwenJones84 I think it\xe2\x80\x99s pretty clear. Everyone is welcome on the march. But those who backed austerity\xe2\x80\xa6 https://t.co/EwCfWRwKr7',0,7,0,1,Labour,0.3818
1109520716314148865,2019-03-23 18:22:07,"b""@mrjamesob @OwenJones84 It's pretty clear James. Like many people Owen doesn't very much like the right wing of the\xe2\x80\xa6 https://t.co/0PyuSmAHAh""",0,4,0,1,Labour,0.765
1109506716524265478,2019-03-23 17:26:29,b'@mrjamesob @OwenJones84 I think that distinction does have to be made. Many people don\xe2\x80\x99t feel able to stand side by\xe2\x80\xa6 https://t.co/uhqYv7GT79',0,10,0,1,Green,0.0
1109467821132648449,2019-03-23 14:51:56,"b""Literally the only thing that doesn't make sense here is your response. What does Owen's parentage have to do with\xe2\x80\xa6 https://t.co/QmTrDUHg8J""",3,18,0,1,Labour,0.0
1109248810373578754,2019-03-23 00:21:39,"b""Fantastic evening with @OwenJones84 @NavPMishra &amp; @GwynneMP \n\nStockport's very own Owen Jones gave a fantastic spee\xe2\x80\xa6 https://t.co/KxWAFXsibY""",3,24,0,1,Labour,0.0
1109238635444998144,2019-03-22 23:41:14,b'So now I can say that me and @OwenJones84 have done a gig at the same venue. https://t.co/sBt7J7gkcQ',0,11,0,1,Labour,0.0
1109218348573839361,2019-03-22 22:20:37,b'When you\xe2\x80\x99re an on-call midwife and you want to hear as much as possible of @OwenJones84 so you go to a Friday night\xe2\x80\xa6 https://t.co/yIEjvxcpDu',0,12,0,1,SNP,0.0772
1109174141792321537,2019-03-22 19:24:57,b'THIS JUST HAPPENED LIVE!!! https://t.co/vEYfjtTo7S',66281,185460,1,0,Non-Aligned,0.0
1109131151002779648,2019-03-22 16:34:07,b'couldn\xe2\x80\x99t have done it without them and also people like @OwenJones84 @jeremycorbyn @CarolineLucas @EmilyThornberry\xe2\x80\xa6 https://t.co/94rdNl6FTt',102,724,0,1,Green,-0.2755
1109003241528979456,2019-03-22 08:05:51,"b'8. This was the worst experience I\xe2\x80\x99ve had with UK media, but after quite a few interviews in different countries, I\xe2\x80\xa6 https://t.co/FgvjB0Z0WN'",1747,8416,0,1,Labour,-0.6249
1108439684521304064,2019-03-20 18:46:29,"b'Who the hell is this guy and why is he attacking me, a journalist https://t.co/2O19KcA04P'",2,9,0,1,Non-Aligned,-0.8271
1108438669696864256,2019-03-20 18:42:27,b'Even the police have cottoned on - many working within said newspapers still in complete denial https://t.co/SQgF3Z78pk',45,126,0,1,Labour,0.0
1108437743389024256,2019-03-20 18:38:46,"b""Looking fwd to a bunch of defensive hacks writing to this guy's boss to complain too, like they did with OJ. Idiots\xe2\x80\xa6 https://t.co/UJMXSRIarM""",14,47,0,1,Non-Aligned,0.0
1108437539881402373,2019-03-20 18:37:57,"b'Good evening @OwenJones84, are you well? \n\nhttps://t.co/13YLtYcAHp'",5,24,0,1,Labour,0.2732
1108437127652622337,2019-03-20 18:36:19,"b'Newspapers help to radicalise far right, says UK anti-terror chief: Neil Basu criticises hypocrisy of mainstream ne\xe2\x80\xa6 https://t.co/TbsnmMUuBz'",43,139,0,1,Green,0.4019
1108436634025017351,2019-03-20 18:34:21,"b'.@OwenJones84, apologise immediately.  https://t.co/Pq5vGqnwdo'",143,781,0,1,Labour,0.0
1108434514680991745,2019-03-20 18:25:56,"b'@OwenJones84 ""I would just like to clarify that the Guardian does not help radicalise far-right terrorists and is a\xe2\x80\xa6 https://t.co/1RHK4pekOZ'",0,10,0,1,Green,-0.128
1108433521541025792,2019-03-20 18:21:59,b'@OwenJones84 is right. Again. https://t.co/NwJg5AXauQ',0,1,0,1,Non-Aligned,0.0
1108359332733833216,2019-03-20 13:27:11,"b""Owen Jones and his dangerous broad brush | If British media was racists with keyboards' would we have BAME journali\xe2\x80\xa6 https://t.co/mGlkHAx1E0""",0,14,0,1,UKIP,-0.8126
1108331454356959232,2019-03-20 11:36:25,b'\xf0\x9f\x98\x82 https://t.co/KsvbWRg7NV',7,34,0,1,Non-Aligned,0.0
1108041456097394688,2019-03-19 16:24:04,"b""Was hoping there'd be a PS, along the lines of 'and feel free to speak out against racism'. https://t.co/phrReVQDw1""",0,1,0,1,SNP,0.2732
1108014148875481089,2019-03-19 14:35:33,b'I really hope that all the journalists doubling down on their inefficacy (or disinterest) in calling out racism fue\xe2\x80\xa6 https://t.co/kqlBacFk7x',7,16,0,1,Labour,-0.296
1107909840058355712,2019-03-19 07:41:04,b'@OwenJones84 Thank you Owen. Very well said.\xf0\x9f\x91\x8f\xe2\x9c\x8a #ChristchurchTERRORISTattack #NewZealand #LGBTQoftwitter #LGBTQ\xe2\x80\xa6 https://t.co/PT9ii4B5j9',0,2,0,1,Labour,0.5574
1107757871477985280,2019-03-18 21:37:12,b'White supremacists committed the largest # of extremist killings in 2017.\n\nWhat the President is saying here: \xe2\x80\x9cif y\xe2\x80\xa6 https://t.co/DxwH1SAlbU',53150,162453,0,1,Labour,-0.4588
1107754503271575553,2019-03-18 21:23:49,b'@OwenJones84 No Owen you were right the first time. Every journalist in Britain is racist. Except you. Obviously. O\xe2\x80\xa6 https://t.co/2y5VQqGxUj',0,3,0,1,Labour,-0.6124
1107724854353162242,2019-03-18 19:26:00,b'.@OwenJones84 is right. The media is structurally racist and it has legitimised Islamophobia to the point where the\xe2\x80\xa6 https://t.co/t53qee8XFX',162,903,0,1,LibDem,-0.3818
1107724463855099904,2019-03-18 19:24:27,"b'@OwenJones84 @femlxla When I was canvassing the other day, some guy said to me \xe2\x80\x9cthe press isn\xe2\x80\x99t biased, you have Ow\xe2\x80\xa6 https://t.co/4K6SNarNwi'",6,70,0,1,LibDem,-0.1027
1107689526380711936,2019-03-18 17:05:37,"b""@OwenJones84 This is self-evident from everything that you've already said and written. Nowhere have you ever said\xe2\x80\xa6 https://t.co/cghfIzNiwp""",0,1,0,1,LibDem,0.0
