id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1108395677166522368,2019-03-20 15:51:37,"b""Five of #RGU's tourism &amp; hospitality students attended the annual @visitabdn Tourism Conference today at the Music\xe2\x80\xa6 https://t.co/LcxrGyDAnq""",1,12,0,1,Conservative
1108322453267402752,2019-03-20 11:00:39,b'Discover #mentalizing this #InternationalDayOfHappiness. Get an intro to the technique that can help you understand\xe2\x80\xa6 https://t.co/bqAvJk401V',0,3,0,1,SNP
1108300935258869760,2019-03-20 09:35:08,"b""Looking forward to Professor Heather Fulford's lecture tonight on the employability journeys of generation Z in the\xe2\x80\xa6 https://t.co/0hNkSMNQsL""",0,2,0,1,Non-Aligned
1108002792545890306,2019-03-19 13:50:26,b'International Hospitality Management course leader Craig Leith tells us the TOP 3 REASONS why you should take this\xe2\x80\xa6 https://t.co/rQkuoljlC9',1,5,0,1,SNP
1107976860259045377,2019-03-19 12:07:23,"b""Come &amp; celebrate World Social Work Day 2019 alongside #RGU's School of Applied Social Studies today in the Ishbel G\xe2\x80\xa6 https://t.co/d1i7wKN1TB""",0,0,0,1,SNP
1107975463912255489,2019-03-19 12:01:50,"b""There's still time to register for Professor Heather Fulford's lecture 'Spot the difference: the employability jour\xe2\x80\xa6 https://t.co/S5pBjPugE9""",0,0,0,1,Non-Aligned
1107688255305199618,2019-03-18 17:00:34,b'Interested in a career in Construction Management? \xf0\x9f\x91\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x91\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f Our course is ranked 1st in Scotland for employment in\xe2\x80\xa6 https://t.co/Wlhj17Pm95',1,0,0,1,SNP
1107688251857485824,2019-03-18 17:00:33,"b'Read the latest #RGView, your magazine that connects the university community. This month: #mentalizing to make sen\xe2\x80\xa6 https://t.co/T1eHJfKWZU'",2,1,0,1,Non-Aligned
1107680190967234560,2019-03-18 16:28:31,b'Not long to go now. Go team RGU!! https://t.co/U1aYwOmTBP',0,3,0,1,SNP
1107615173655908352,2019-03-18 12:10:10,"b'Our next #Innovation Masterclass takes place tomorrow, when we welcome Louise McCullough to RGU. Louise, who is a C\xe2\x80\xa6 https://t.co/E2FImkKcdY'",8,11,0,1,SNP
1107576909389537280,2019-03-18 09:38:07,"b'Congratulations winners of the @RoySocChem Schools\xe2\x80\x99 Analyst competition, which took place at #RGU last week. We are\xe2\x80\xa6 https://t.co/u628SxBHaM'",2,6,0,1,SNP
1107557786379005953,2019-03-18 08:22:08,b'Well done @RGUNandM students - around 140 people had received CPR training by the end of the day on Friday. An amaz\xe2\x80\xa6 https://t.co/CtRKE8fcEe',0,17,0,1,SNP
1107556412425756672,2019-03-18 08:16:40,b'@morganleigha_ Congratulations!',0,1,0,0,Labour
1106548149487894531,2019-03-15 13:30:12,"b""Students from RGU's School of Nursing &amp; Midwifery will be offering 20 minute CPR training sessions all day on campu\xe2\x80\xa6 https://t.co/TsARdGZkwr""",6,27,0,1,SNP
1106533147309719553,2019-03-15 12:30:35,"b'This free, public event will focus on issues such as the contrasting contexts facing many in the future young\xe2\x80\xa6 https://t.co/iTd9GZPp0H'",1,6,0,1,DUP
1106495399446175745,2019-03-15 10:00:35,"b'Watch our interview with the dedicated Jennifer Laffan, architecture student and long distance swimmer, who will be\xe2\x80\xa6 https://t.co/iJWRcOI0Yw'",1,5,0,1,Non-Aligned
1106231148534030336,2019-03-14 16:30:33,b'Interesting write up by @NorthEastPoliceDivision on the effects of domestic abuse on victims and their support of\xe2\x80\xa6 https://t.co/31boHSxjwi',2,3,0,1,Labour
1106217422237900800,2019-03-14 15:36:00,"b'@morganleigha_ Hello Morgan, thanks for your tweet. We know it is difficult waiting to hear, however we are still p\xe2\x80\xa6 https://t.co/0HlSXlU1Mi'",0,1,0,1,SNP
1106207735383760896,2019-03-14 14:57:31,b'RT @BDA_Scotland: Would be great to see some of our future practitioners engage in this work...\n@drjacklynjones @QMUniversity @CaledonianNe\xe2\x80\xa6',2,0,0,0,SNP
1106176950031339522,2019-03-14 12:55:11,"b'Congratulations to @GraysArtSchool graduate Samantha Cheevers, who has been awarded the Glenfiddich Residency Award\xe2\x80\xa6 https://t.co/WBbztf49kd'",6,26,0,1,Non-Aligned
1106122938149978113,2019-03-14 09:20:33,"b""RGU's unique programme to support businesses in the energy sector to accelerate their growth, begins today. Fit4Ene\xe2\x80\xa6 https://t.co/2jftBoSMi6""",1,4,0,1,Conservative
1106108732910510081,2019-03-14 08:24:07,b'@JoanNiwenshaba Sorry to hear this. You can find information about scholarships &amp; financial awards available on our\xe2\x80\xa6 https://t.co/U6UuiNw8bR',0,0,0,1,Non-Aligned
1105847282744942592,2019-03-13 15:05:12,b'#Aberdeen has been named as one of the best cities in the #UK for #European expats to live in. Find out more: https://t.co/aA2S40b6ZR',3,9,0,1,Green
1105800744496709633,2019-03-13 12:00:16,"b""#RGU's next professorial lecture will explore the needs &amp; issues young people face as they prepare to enter the\xe2\x80\xa6 https://t.co/Imbk9hKjpQ""",4,12,0,1,Non-Aligned
