id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1107390126987059200,2019-03-17 21:15:55,b'@agirlcalledlina @ellie_nich',0,1,0,0,Non-Aligned
1105981012310482946,2019-03-13 23:56:36,b'RT @TheGlasgowCup: \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f| Glasgow Taxis Cup Cross Country \n\nCongratulations to Glasgow Caledonian University who took home the @glasgow_tax\xe2\x80\xa6',7,0,0,0,SNP
1105519018822242311,2019-03-12 17:20:48,b'@Bradyy146 https://t.co/IdGXCX2SCK',0,1,1,0,Non-Aligned
1105518834943954944,2019-03-12 17:20:04,b'RT @Bradyy146: Creased @zoejp96 and I got told off for saying hi on the silent floor of the lib. We\xe2\x80\x99re worse than the first years',1,0,0,0,LibDem
1105518566630146049,2019-03-12 17:19:00,b'RT @Bradyy146: If you have about 2 minutes to spare please fill out this survey to help my dissertation research https://t.co/U9imcXXYLK',6,0,0,1,SNP
1104793018379526145,2019-03-10 17:15:56,b'@elouiseee_ @PryceConnie @samantha_hawke Every hall party \xf0\x9f\x98\x82',0,1,0,0,LibDem
1102275664177233922,2019-03-03 18:32:52,b'Oldie \xf0\x9f\x92\x9e @ Pure Steaming https://t.co/LnU83hArHj',0,0,0,1,Non-Aligned
1102150607199260673,2019-03-03 10:15:56,b'@bedroomflicker @ellie_nich Savage',0,1,0,0,Non-Aligned
1101490205209575424,2019-03-01 14:31:44,b'@RossKyleJohnson @wehden07 Supposedly you have to pay \xc2\xa332 to analyse the results if you have over 100 respondents? Google Docs is free \xf0\x9f\x98\x85',0,1,0,0,Non-Aligned
1101254830876737536,2019-02-28 22:56:26,b'@HedgehogClown All Twitter users can!',0,1,0,0,Non-Aligned
1101175538947948544,2019-02-28 17:41:21,b'RT @jimwaterson: The coverage of the Momo challenge is possibly some of most irresponsible journalism in this country for ages. Samaritans\xe2\x80\xa6',3850,0,0,0,LibDem
1100844860473528321,2019-02-27 19:47:22,b'\xf0\x9f\x9a\xa8 I\xe2\x80\x99m currently writing my honours dissertation on the misogynistic abuse female journalists receive on Twitter.\xe2\x80\xa6 https://t.co/Va0YvDa8sn',337,192,0,1,LibDem
1100128616594239490,2019-02-25 20:21:16,"b'RT @fkajack: \xe2\x80\x9ci had a boyfriend who told me I\xe2\x80\x99d never succeed, never be nominated for a grammy, never have a hit &amp; hoped i\xe2\x80\x99d fail. i said t\xe2\x80\xa6'",103044,0,0,0,Non-Aligned
1099648712320651270,2019-02-24 12:34:18,b'We have to buy a new one \xf0\x9f\x92\x94 https://t.co/IZOhHP2GXB',0,3,0,1,Non-Aligned
1097242193075556352,2019-02-17 21:11:39,"b""RT @linseyhanna_: If you're between 18-25 and female, pls help a gal out and fill in my dissertation survey about Instagram and mental heal\xe2\x80\xa6""",17,0,0,0,Non-Aligned
1095035860695896064,2019-02-11 19:04:28,b'@stephxliz @ellie_nich @LauraEv1441',0,2,0,0,Non-Aligned
1094015560868941825,2019-02-08 23:30:10,b'RT @CHLOELSTOKES: No wonder so many girls aren\xe2\x80\x99t happy with how they look. There\xe2\x80\x99s no way this girl is anything more than a 10 and she\xe2\x80\x99s co\xe2\x80\xa6',2716,0,0,0,LibDem
1093293797251973120,2019-02-06 23:42:08,b'Instagram : Diet/detox products should not be allowed to be sold by celebrities on social media. - Sign the Petitio\xe2\x80\xa6 https://t.co/SkSYLkIi10',0,0,0,1,LibDem
1091783493191942146,2019-02-02 19:40:43,b'@gabbiejarvis @samantha_hawke You',0,1,0,0,Non-Aligned
1091770516669718529,2019-02-02 18:49:09,b'Milking Laura\xe2\x80\x99s dress \xe2\x9c\xa8 @ Hummingbird Glasgow https://t.co/Ck0534YVxS',0,0,0,1,SNP
1091659543627644928,2019-02-02 11:28:11,b'RT @_euancampbell: Is that louis theroux https://t.co/f8rr5B8yf7',1284,0,0,1,Non-Aligned
1088503176574177281,2019-01-24 18:25:55,"b'RT @BBCPhilipSim: Here are the charges Alex Salmond faces. Multiple charges of sexual assault, and two of attempted rape. https://t.co/8Itd\xe2\x80\xa6'",824,0,0,0,SNP
1088060624473636869,2019-01-23 13:07:22,b'@dancing_bratz @ellie_nich',0,1,0,0,Non-Aligned
1088004417494892544,2019-01-23 09:24:01,b'RT @hevarowan: my manager made Pickles the business mascot so now she gets to model all the cars https://t.co/kmo6qS2RBt',40456,0,1,0,Non-Aligned
1085973591802503168,2019-01-17 18:54:15,b'@samantha_hawke @tmbIrpics @PryceConnie So pretty \xf0\x9f\x98\x8d',0,2,0,0,Non-Aligned
1085205443104960512,2019-01-15 16:01:54,b'RT @spidervesre: THIS is how you use your brand. THIS is how you engage with your audience. Gillette being aware of mostly having a male au\xe2\x80\xa6',213388,0,0,0,Non-Aligned
1085126309192392704,2019-01-15 10:47:27,b'@anesuishec @LauraEv1441 Taking the rubbish out \xf0\x9f\x98\x82',0,1,0,0,LibDem
1083500627848818690,2019-01-10 23:07:34,"b'RT @jodykerr98: Needed to see this today, crazy how deceiving instagram is https://t.co/3LjQhVQJlm'",5150,0,0,1,Non-Aligned
1083314876750151680,2019-01-10 10:49:28,b'RT @kdownonit: a can confirm that this guy asked if he could \xe2\x80\x9cwalk me home\xe2\x80\x9d when a just finished work at 9pm next to the clyde then got so\xe2\x80\xa6',2017,0,0,0,SNP
1082948677814177792,2019-01-09 10:34:19,b'@bedroomflicker @ellie_nich Please do this \xf0\x9f\x98\x82',0,1,0,0,Non-Aligned
1082581233035546624,2019-01-08 10:14:13,"b'RT @artbycian: Hand painted thank u, next Denim Jacket by me \xf0\x9f\x92\x96@ArianaGrande https://t.co/zMSn8H3G6M'",37965,0,1,0,Conservative
1082236117494190082,2019-01-07 11:22:52,b'RT @PopCrave: Sandra Oh became the first asian woman to win \xe2\x80\x98Best Actress TV Drama\xe2\x80\x99 #GoldenGlobes in almost 40 years.\n\nCongratulations @Iam\xe2\x80\xa6',6129,0,0,0,Non-Aligned
1081639937324265472,2019-01-05 19:53:51,"b'New year, same moody pus \xf0\x9f\x92\xaf https://t.co/PA5tvpCwqm'",0,0,0,1,Non-Aligned
1079524326766977029,2018-12-30 23:47:10,b'RT @numbertheory666: U like pac-man? U know what PAC stands for? Program and control. he\xe2\x80\x99s program and control man the whole thing\xe2\x80\x99s a meta\xe2\x80\xa6',16829,0,0,0,Non-Aligned
1077488700693598209,2018-12-25 08:58:19,"b'RT @zoejp96: Another Christmas without a pug, maybe next year x'",1,0,0,0,Labour
1076210911000567808,2018-12-21 20:20:50,b'RT @davidsonjennaa: once a girl changes her side part to a middle part she becomes a woman',8907,0,0,0,Non-Aligned
1075760557465038850,2018-12-20 14:31:18,b'Coke Zero is unfairly discriminated against and McD\xe2\x80\x99s Coke is nothing compared to McD\xe2\x80\x99s Fanta?! https://t.co/N3FX9swISW',0,1,0,1,Green
1075342985099911169,2018-12-19 10:52:01,"b'RT @Channel4News: ""Go back to Skye"".\n\nBefore he could even speak in the Commons, the SNP\'s @IanBlackfordMP was heckled by a Conservative MP\xe2\x80\xa6'",6820,0,0,0,SNP
1073969605813694466,2018-12-15 15:54:42,b'@dattebanyan @ellie_nich \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,2,0,0,Non-Aligned
1073343421996298240,2018-12-13 22:26:28,b'RT @Itsmysociallife: \xe2\x80\x9cHow\xe2\x80\x99s life?\xe2\x80\x9d\n\nMe: https://t.co/Xjic6LmEHt',30532,0,1,0,Non-Aligned
1073218843429036032,2018-12-13 14:11:26,b'RT @godsaverami: are we living or are we just waiting to turn 22 and post a picture with \xe2\x80\x9ci dont know about you but i\xe2\x80\x99m feeling 22\xe2\x80\x9d as the\xe2\x80\xa6',10232,0,0,0,Non-Aligned
1073218448564633610,2018-12-13 14:09:52,b'@nicolatorrancex Cheers Nicola! \xe2\x98\xba\xef\xb8\x8f',0,0,0,0,SNP
1071856475788607488,2018-12-09 19:57:52,"b'Happy, free, confused and lonely at the same time \xf0\x9f\x8e\x88 #22 https://t.co/P0YDI4Ujox'",0,0,0,1,Non-Aligned
1071165391039275009,2018-12-07 22:11:45,b'Choose life. https://t.co/vSb0D0t7sk',0,0,0,1,Non-Aligned
1071134646941954048,2018-12-07 20:09:35,b'RT @GameOfThrones: Fire and ice. #GoTS8 https://t.co/ixHIsPjyhW',100447,0,1,0,Non-Aligned
1069185569224314887,2018-12-02 11:04:38,b'RT @caitargraves: Girls in the bathroom at the bar: https://t.co/LZOZe7nsES',83315,0,1,0,Non-Aligned
1068315709049065472,2018-11-30 01:28:08,b'@ellie_nich @DaniEmilyx Offended',0,1,0,0,Conservative
1068312830523437056,2018-11-30 01:16:41,"b""RT @lumi_1984: Ooft. This @CNN report on May's visit to Scotland is quite something.\n\n(h/t: @DRossborough) https://t.co/yH40c7Pf0M""",3083,0,1,0,SNP
1068191560393793537,2018-11-29 17:14:48,b'RT @detlef_schrempf: Swedish House Mafia are HEADLINING Creamfields next year \xf0\x9f\x98\xa2\xf0\x9f\x98\xa2 my lifelong dream to see them live WHOSE COMING WITH ME X',723,0,0,0,LibDem
1067926693053177857,2018-11-28 23:42:19,"b""RT @ScotNational: Tomorrow's front page: This is where we would have reported on Theresa May's visit to Scotland. We were barred from her p\xe2\x80\xa6""",6181,0,0,0,SNP
1067205399970021381,2018-11-26 23:56:09,"b'RT @prncessdiaries: HONESTLY if u were a book stan during 2012-2015 u had a good life. like hunger games, catching fire, the fault in our s\xe2\x80\xa6'",74792,0,0,0,Non-Aligned
1066675649434316801,2018-11-25 12:51:07,b'@sherrrr__ Omg I\xe2\x80\x99m so excited \xf0\x9f\xa4\xa9',0,0,0,0,Non-Aligned
1064688438975303680,2018-11-20 01:14:39,b'RT @LORAFRIMANEE: no cellphone in sight. just people living in the moment https://t.co/FW54YdPugg',36349,0,1,0,Labour
1064636970805137408,2018-11-19 21:50:08,b'RT @JournoFives: Time to step up and be counted. Journo Fives Week Two. Be a Hero. #JournoFives https://t.co/ZHXyY7qlA9',6,0,1,0,Labour
1064295127252905984,2018-11-18 23:11:46,b'@alyssalimp @linseyhanna_ \xf0\x9f\x98\x82',0,0,0,0,Non-Aligned
