id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
976391595577806849,2018-03-21 09:34:31,b'@UKHonor any word on the Oreo beta for the Honor 7x here in the UK?',0,0,0,0,Non-Aligned
812454703942529024,2016-12-24 00:27:50,"b""@itsAmyyy_  that cause I'm not with you this Christmas aye?""",0,0,0,0,SNP
810759401434972160,2016-12-19 08:11:19,b'The struggles of a Monday morning are only made worse with 8 hours of unnecessary travel :/',0,1,0,0,Non-Aligned
809024518698242048,2016-12-14 13:17:30,"b'Hey guys sorry for the spam, been testing a twitter bot as part of my coursework and seems to have went rogue. https://t.co/UPWHP1Ihu0'",0,2,1,0,Non-Aligned
809017932525223936,2016-12-14 12:51:20,b'Alarm from IRsensor on channel 33 at Wed Dec 14 12:51:20 2016',0,1,0,0,Green
774216602812375040,2016-09-09 12:03:17,"b""How am I supposed to have a lit fresher's if I can't get out of bed cause I have the flu.""",0,0,0,0,Non-Aligned
756747761710731264,2016-07-23 07:08:20,"b""Nothing worse than waking up thinking you've still got hours of sleep left so you roll over to get comfortable and then your alarm goes off""",0,9,0,0,Green
754416045658664960,2016-07-16 20:42:56,b'Driving around Belfast with your mate as  he takes both of your phones to grab all the pokestops and pokemon is the way to do #PokemonGO',0,3,0,0,DUP
753978629416185856,2016-07-15 15:44:48,b'RT @SoVeryBritish: A handy collection of awkwardness from the Very British Problems book https://t.co/Rod29q68dM https://t.co/FBNovbo1AB',16201,0,1,1,LibDem
753974353713360900,2016-07-15 15:27:48,"b'RT @elonmusk: Onboard vehicle logs show Autopilot was turned off in Pennsylvania crash. Moreover, crash would not have occurred if it was o\xe2\x80\xa6'",5576,0,0,0,Non-Aligned
749559688166010880,2016-07-03 11:05:30,b'RT @MyUNiDAYS: Feeling sorry for yourself? https://t.co/2uy7uLSzAL',48,0,1,0,Non-Aligned
749558691381338112,2016-07-03 11:01:32,"b""@itsAmyyy_ the last one I got was heavenly and didn't have rabbit food on top of it and I tried picking it off, stuff was mixed in :(""",0,0,0,0,Non-Aligned
749404370362568704,2016-07-03 00:48:19,b'When you have to dump your kebab cause they put rabbit food on top of it :/',0,0,0,0,Non-Aligned
749396400891461632,2016-07-03 00:16:39,b'@itsAmyyy_ rude',0,0,0,0,Non-Aligned
748876891210342400,2016-07-01 13:52:18,b'My feelings about going to work at any given time can be summed up perfectly in one line. https://t.co/I0BzKy2Izq',0,1,1,0,LibDem
742831580671008768,2016-06-14 21:30:24,b'RT @AndroidAuth: #oneplus 3 now available on the #oneplus website https://t.co/veA7iOOUZN https://t.co/5cDZpqNjrV',27,0,1,1,Non-Aligned
653519461471944704,2015-10-12 10:35:56,"b""@oneplus Come on oneplus, really? You've been advertising this day for ages and you can't deliver what you've promised""",0,0,0,0,Labour
556118868369084417,2015-01-16 16:00:45,"b'SMS/Whatsapp/Wechat/Line/Kakao, or use any other Android apps on Win/Mac with #AirDroid3:http://t.co/3lrjcFoXzd http://t.co/8hG4d0sahA'",0,2,1,1,Non-Aligned
550311360928575489,2014-12-31 15:23:47,"b'#DoubleNexus Giveaway. Super easy, enter here... https://t.co/1WEnbcar7A via @pocketnow'",0,0,0,1,Non-Aligned
548209672692310017,2014-12-25 20:12:25,b'I just entered to win a free smart watch...amazing. Enter the #ChooseAWatch Giveaway here: https://t.co/R2ht1CYXUn via @pocketnow',0,0,0,1,Non-Aligned
544399496499580929,2014-12-15 07:52:09,b'Nexus 9 international giveaway @androidauth #nexus9 http://t.co/pd9MvuSc7e',0,0,0,1,Non-Aligned
532853475911008258,2014-11-13 11:12:23,"b'Yo, I just entered to win the Nexus 6 + 9 for free. Super easy, enter here... https://t.co/1WEnbbjDJo via @pocketnow'",0,0,0,1,Non-Aligned
532318646266114049,2014-11-11 23:47:09,b'RT @Pocketnow: Leak uncovers Android Wear improvements landing with Lollipop http://t.co/sqreSpOvCq',7,0,0,1,Non-Aligned
