id,created_at,text,retweet_count,favorite_count,media_count,url_count
1105246801639153664,2019-03-11 23:19:06,b'@kerr_fisher Bro you really snapped here tbh',0,1,0,0
989230904043360259,2018-04-25 19:53:21,"b""@uhh_fellas @kanyewest he's a free thinker, if the thought police can't stop him, no one can.""",0,1,0,0
982303852115513344,2018-04-06 17:07:43,"b""@RyanFCowley if it's music production can I do the ad-libs??""",0,0,0,0
978258307629465601,2018-03-26 13:12:10,b'@uhh_fellas all day bro',0,0,0,0
968187415532855296,2018-02-26 18:14:02,b'@theneedledrop I agree with your MBDTF rating',0,0,0,0
961540902551465985,2018-02-08 10:03:10,"b""@uhh_fellas don't tell me how to live\xf0\x9f\x98\xa4""",0,1,0,0
959824041371676674,2018-02-03 16:20:58,"b""Being told by numerous anonymous sources that 2018 will be Johnny Fortune's year. BIG IF TRUE""",0,2,0,0
944909438707740672,2017-12-24 12:35:40,"b""@uhh_fellas @CadburyUK get this mans more Fry's Peppermint Creams NOW!\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1""",0,1,0,0
940253056297504768,2017-12-11 16:12:52,b'RT @GranolaAmeobi: Lil CheErs and Yung Fella mixtape COMING SOON https://t.co/TJXMh57IoV',5,0,1,0
860600089928138752,2017-05-05 21:00:25,b'RT @theSNP: \xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cSNP win Scottish Council Elections! \xf0\x9f\x99\x8c\xe2\x80\x9d\n\nhttps://t.co/lZ7NvsyNdX',344,0,0,1
804463102179901440,2016-12-01 23:12:04,"b'RT @penguintacos7: This is the ideal male body. You may not like it, but this is what peak performance looks like. https://t.co/RrQUnlus8B'",5,0,1,0
802957547426566144,2016-11-27 19:29:32,"b'RT @WingsScotland: Well, the internet was fun while it lasted. https://t.co/6886AD1TEc https://t.co/FhnSgzykmB'",678,0,1,1
796313349646647304,2016-11-09 11:27:51,"b""RT @StuuuartMan: It's ok. Nicky Sturgeon formulating a plan as we speak to gain independence from planet earth to protect the people of Sco\xe2\x80\xa6""",195,0,0,0
796312769662423040,2016-11-09 11:25:33,"b'RT @David_Leavitt: Over 11,000 people voted for Harambe. Harambe is a dead gorilla. \nThose 11,000 votes would have saved our country. #Elec\xe2\x80\xa6'",8354,0,0,0
784018342860455936,2016-10-06 13:11:53,b'@calveenyo I was gonna monetise that meme but then out comes the snakes\xf0\x9f\x90\x8d',0,1,0,0
784016849746989056,2016-10-06 13:05:57,"b'@calveenyo bruh this is copyright infringement, lawsuit filed'",0,0,0,0
776564005364174849,2016-09-15 23:31:01,"b'RT @h3h3productions: HOPE Soldiers is the charity that Hugh Mungus recommended in our interview, they posted this yesterday. Papa bless! ht\xe2\x80\xa6'",1766,0,0,0
775090677197762560,2016-09-11 21:56:32,b'RT @h3h3productions: YOU WILL NOT BELIEVE THIS HISTORICAL MOMENT CAUGHT ON FILM https://t.co/yedfr3hMkd',2005,0,1,0
735580061835907072,2016-05-25 21:15:27,b'RT @commentiquette: What kind of pussy sues comedians over a joke? Fuck you bold guy',213,0,0,0
732005321015758848,2016-05-16 00:30:43,"b'RT @HipHopVibess: ""Why is my school like this \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"" https://t.co/BFZaF8FDzr'",3249,0,1,0
731631667077627904,2016-05-14 23:45:57,b'RT @h3h3productions: current mood https://t.co/BRu3qonuSW',2204,0,1,0
731534913720221696,2016-05-14 17:21:29,"b'RT @commentiquette: @tedcruz Your Zodiac reading for the day: THE DARK HOOD CALLS TO YOU FROM THE CLOSET. HOW LONG HAS IT BEEN? ""LONG ENOUG\xe2\x80\xa6'",66,0,0,0
729465816056537088,2016-05-09 00:19:38,"b'RT @robdelaney: It\'s hard for me to say ""Happy"" Mother\'s Day when Obama &amp; his stormtroopers are p*ssing on the constitution, which, news fl\xe2\x80\xa6'",265,0,0,0
723316435276185600,2016-04-22 01:04:11,"b'RT @h3h3productions: .@pewdiepie won most influential man, I won most sexiest. https://t.co/eH7nx1HTra'",1694,0,1,0
701693198914162689,2016-02-22 09:01:10,"b""RT @h3h3productions: We can now pay off @kanyewest's debt https://t.co/eV7ZW1Vsxy""",2085,0,1,0
699673192403759104,2016-02-16 19:14:23,"b'RT @BBCNews: ""Drink probably involved"" in triceratops abduction on Isle of Wight https://t.co/FHLgDuKhnO https://t.co/ncwZLGhSfp'",3027,0,1,1
697923066463174656,2016-02-11 23:20:00,"b'@h3h3productions Fuck soflo, sue this man for impersonation. https://t.co/FUiKPmbCO8'",0,1,1,0
697912385424773120,2016-02-11 22:37:33,"b""RT @ajacrichton: First box from @OrchardBox looking very good at the moment! Can't wait to tuck into it! https://t.co/XMfzlHykP1""",4,0,1,0
655776500281659392,2015-10-18 16:04:36,b'RT @craighibs512: Absolute bullshit ref!!!',1,0,0,0
655776488206311425,2015-10-18 16:04:33,b'RT @ajacrichton: What a load of horse s***!!!',1,0,0,0
643930788468248576,2015-09-15 23:33:58,b'@AllOffTheJordan shut it',1,0,0,0
598091020547584000,2015-05-12 11:43:05,b'@BigKiers Tut mir nicht leid',0,0,0,0
