id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1100765143321853953,2019-02-27 14:30:36,"b'Pok\xc3\xa9mon Sword and Pok\xc3\xa9mon Shield, coming to #NintendoSwitch in late 2019!\n\n#PokemonSwordShield \xe2\x9a\x94 \xf0\x9f\x9b\xa1 https://t.co/FcTRxr6LD1'",1454,3925,1,0,Labour,0.0
1100761621448806400,2019-02-27 14:16:36,"b""Either way I'm happy because Grookey is ticking all my boxes being a grass type and I'm going to convince myself it\xe2\x80\xa6 https://t.co/U5RWn9gjn9""",0,87,0,1,Non-Aligned,0.0
1100760183653855232,2019-02-27 14:10:53,"b'That\xe2\x80\x99s all the information we\xe2\x80\x99ve got for now\xe2\x80\x94as we uncover more on the new region and new Pok\xc3\xa9mon, we\xe2\x80\x99ll share thos\xe2\x80\xa6 https://t.co/Alt6TCb81T'",3984,18734,0,1,Labour,0.296
1027712461955198976,2018-08-10 00:25:19,b'I finally tracked down @BryanDechart an incredibly person along with his wife @AmeliaRBlaire ! videos coming soon :) https://t.co/TgQKrRn9Yp',8379,61384,1,0,Non-Aligned,0.0
1026258046517825536,2018-08-06 00:05:59,b'DEJA VU!',2185,33406,0,0,Non-Aligned,0.0
1024348538363232256,2018-07-31 17:38:17,b'#PMA Coming Soon! https://t.co/CFJrsYKhbQ',1924,27241,1,0,Non-Aligned,0.0
1023991163043250176,2018-07-30 17:58:12,b'Knowing that you can have a positive impact on people is the best feeling in the world!',3326,38285,0,0,Non-Aligned,0.6369
1014215026314547200,2018-07-03 18:31:20,b'Opens twitter in good mood. \nReads insane shit on twitter. \nCloses twitter in bad mood. \nRepeat every day.',5049,34213,0,0,Non-Aligned,-0.6369
994273208781230080,2018-05-09 17:49:40,b'I C O N https://t.co/jogMY2OD9H',1,6,1,0,Non-Aligned,0.0
986769361879945216,2018-04-19 00:52:03,b'Launching 4/20. https://t.co/K4BtLZM5Vg',1071,9217,1,0,Non-Aligned,0.0
976115287991910400,2018-03-20 15:16:34,"b'A man has been convicted in a UK court of making a joke that was deemed ""grossly offensive"". If you don\'t believe i\xe2\x80\xa6 https://t.co/rjiPKQnD26'",47649,140272,0,1,Green,0.5574
971874143556816901,2018-03-08 22:23:47,"b""#CrashBandicoot N. Sane Trilogy is making the 'wump' to #NintendoSwitch on 10/07! #NintendoDirect https://t.co/44pIwzCFh2""",590,1744,1,0,Non-Aligned,0.0
