id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1110714893039267840,2019-03-27 01:27:21,'The Fake News Media has lost tremendous credibility with its corrupt coverage of the illegal Democrat Witch Hunt of\xe2\x80\xa6 https://t.co/3zByjVZIkO',26418,106161,0,1,Republican
1110710740044914688,2019-03-27 01:10:51,'https://t.co/Ing9BhBQGi',14998,47092,1,0,Non-Aligned
1110710388927156224,2019-03-27 01:09:27,'https://t.co/P46CNUBicX',13286,43612,1,0,Non-Aligned
1110702796855300096,2019-03-27 00:39:17,'\xe2\x80\x9cI think this is probably the most consequential media screwup of the last 25 to 50 years. It is difficult to compr\xe2\x80\xa6 https://t.co/6dzxP2QnNH',30426,121212,0,1,Democratic
1110681613359345664,2019-03-26 23:15:06,'\xe2\x80\x9cProclamation on Recognizing the Golan Heights as Part of the State of Israel\xe2\x80\x9d https://t.co/yAAyR2Hxe4 https://t.co/VccUpjMJqZ',12250,51178,1,1,Non-Aligned
1110655481108971522,2019-03-26 21:31:16,'Thank you to the House Republicans for sticking together and the BIG WIN today on the Border. Today\xe2\x80\x99s vote simply r\xe2\x80\xa6 https://t.co/jjbuhnwKyx',31417,138126,0,1,Republican
1110641794621018112,2019-03-26 20:36:53,'\xe2\x80\x9cA Catastrophic Media Failure\xe2\x80\x9d https://t.co/dkHo5kHwwf',17340,63606,0,1,Non-Aligned
1110586787808903168,2019-03-26 16:58:18,'The Republican Party will become \xe2\x80\x9cThe Party of Healthcare!\xe2\x80\x9d',24229,126895,0,0,Democratic
1110554276839993344,2019-03-26 14:49:07,'\xe2\x80\x9cWhat we\xe2\x80\x99re seeing on Capitol Hill right now is that the Democrats are walking back any charges of Collusion agains\xe2\x80\xa6 https://t.co/zGECnyp5Si',19908,87177,0,1,Republican
1110499640636522496,2019-03-26 11:12:01,"'RT @TomFitton: Let\xe2\x80\x99s be clear, neither Mueller, Obama FBI, DOJ, CIA, Deep State, etc ever had good faith basis to pursue @realDonaldTrump o\xe2\x80\xa6'",15286,0,0,0,Republican
1110495339369377793,2019-03-26 10:54:55,'The Mainstream Media is under fire and being scorned all over the World as being corrupt and FAKE. For two years th\xe2\x80\xa6 https://t.co/LPhyJtFIDt',46717,184096,0,1,Republican
1110387923709579264,2019-03-26 03:48:05,"'RT @TomFitton: Tom Fitton on @RealDonaldTrump Russia Mueller Probe: \'They\'ve KNOWN There Was NO Collusion"" And, by the way, @DevinNunes is\xe2\x80\xa6'",12064,0,0,0,Republican
1110383915485810689,2019-03-26 03:32:10,'RT @DonaldJTrumpJr: Christmas came early this week. https://t.co/ypqkZgRkeR',24913,0,0,1,Republican
1110381904417751041,2019-03-26 03:24:10,"'RT @ZacharyIvanPor1: @realDonaldTrump Thank you Mr. President\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 for all of your sacrifice, your hard work, and your thoughtful leadership.\xe2\x80\xa6'",9899,0,0,0,Republican
1110363093073301505,2019-03-26 02:09:25,'RT @ScottABC7: The Stanley Cup and the Caps with President Trump in the Oval Office.\n\nWhat a picture! https://t.co/lKwBz3F1YL',7814,0,0,1,Democratic
1110362981756555264,2019-03-26 02:08:59,'A team of great champions! https://t.co/Pm5p9L6TaX',12836,77603,0,1,Non-Aligned
