id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1110125836076806144,2019-03-25 10:26:39,"b'RT @realDonaldTrump: Good Morning, Have A Great Day!'",71940,0,0,0,UKIP,0.7906
1110125811070390272,2019-03-25 10:26:33,"b'RT @realDonaldTrump: No Collusion, No Obstruction, Complete and Total EXONERATION. KEEP AMERICA GREAT!'",85111,0,0,0,UKIP,0.6249
1110125791235526656,2019-03-25 10:26:28,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!',56399,0,0,0,UKIP,0.6249
1110125517754241024,2019-03-25 10:25:23,b'\xe2\x80\x9cBreaking News: Mueller Report Finds No Trump-Russia Conspiracy.\xe2\x80\x9d @MSNBC',11618,55225,0,0,Non-Aligned,0.0
1110124213690687488,2019-03-25 10:20:12,"b'\xe2\x80\x9cThe Special Counsel did not find that the Trump Campaign, or anyone associated with it, conspired or coordinated w\xe2\x80\xa6 https://t.co/zL3wrjdlho'",15321,65650,0,1,UKIP,0.4019
1110121704729313280,2019-03-25 10:10:14,"b'\xe2\x80\x9cNo matter your ideologies or your loyalties, this is a good day for America. No American conspired to cooperate wi\xe2\x80\xa6 https://t.co/edKqmSVKG9'",14057,63068,0,1,UKIP,0.4588
1109918388133023744,2019-03-24 20:42:19,"b'No Collusion, No Obstruction, Complete and Total EXONERATION. KEEP AMERICA GREAT!'",85111,345813,0,0,UKIP,0.6249
1109787694828322816,2019-03-24 12:02:59,b'MAKE AMERICA GREAT AGAIN!',56399,297171,0,0,Non-Aligned,0.6249
1109787378242240514,2019-03-24 12:01:44,"b'Good Morning, Have A Great Day!'",71940,415438,0,0,Conservative,0.6249
1109186928623144960,2019-03-22 20:15:46,"b'Today in Florida, @FLOTUS and I were honored to welcome and meet with leaders from the Bahamas, Dominican Republic,\xe2\x80\xa6 https://t.co/PR1NRDEj0I'",24092,115117,0,1,Non-Aligned,0.4939
1109143448634966020,2019-03-22 17:22:59,b'It was announced today by the U.S. Treasury that additional large scale Sanctions would be added to those already e\xe2\x80\xa6 https://t.co/AZJYyngvAh',21326,96077,0,1,Labour,0.0
1109134531771150336,2019-03-22 16:47:33,"b'It is my pleasure to announce that @StephenMoore, a very respected Economist, will be nominated to serve on the Fed\xe2\x80\xa6 https://t.co/L5qoYOutWo'",16944,81560,0,1,Conservative,0.4767
1109126359861944322,2019-03-22 16:15:05,"b'....There is nothing to admire about them, they will always try to show a glimmer of vicious hope, but they are los\xe2\x80\xa6 https://t.co/wqs0j3gvse'",18366,101944,0,1,UKIP,0.4404
1109126357852786690,2019-03-22 16:15:04,"b'ISIS uses the internet better than almost anyone, but for all of those susceptible to ISIS propaganda, they are now\xe2\x80\xa6 https://t.co/LiltrDNreJ'",22748,123623,0,1,UKIP,0.2263
1109085732155650050,2019-03-22 13:33:39,b'https://t.co/wbQiy4uGYM',12939,45901,1,0,Non-Aligned,0.0
1109080612273557504,2019-03-22 13:13:18,b'https://t.co/du665IcD5H',14093,53709,1,0,Non-Aligned,0.0
1109076700451745792,2019-03-22 12:57:45,b'\xe2\x80\x9cOur own Benjamin Hall is doing fantastic reporting on ISIS right on the from line (True). ISIS was willing to die\xe2\x80\xa6 https://t.co/97qos2ZwNn',16557,72642,0,1,UKIP,0.4215
1109074271769366528,2019-03-22 12:48:06,b'https://t.co/qjoe0rc3rQ',12534,46103,1,0,Non-Aligned,0.0
1109045104080244736,2019-03-22 10:52:12,"b'3.1 GDP FOR THE YEAR, BEST NUMBER IN 14 YEARS!'",35032,165985,0,0,Labour,0.6705
1109044326791811072,2019-03-22 10:49:07,"b""RT @WhiteHouse: The American dream is back because President Trump understands what many experts don't: that restoring American greatness i\xe2\x80\xa6""",14396,0,0,0,Non-Aligned,-0.3169
1108921192860315648,2019-03-22 02:39:49,"b""RT @GOPChairwoman: You can't deny our economy is roaring:\n \n*fastest GDP growth in 13 years\n \n*1M more job openings than people looking for\xe2\x80\xa6""",19596,0,0,0,Non-Aligned,0.3818
1108921075382042624,2019-03-22 02:39:21,b'RT @DonaldJTrumpJr: Super excited today that @realdonaldTrump is signing an executive order today to protect free speech rights for ALL stu\xe2\x80\xa6',26939,0,0,0,UKIP,0.8689
1108920859006324736,2019-03-22 02:38:30,"b""RT @WhiteHouse: President @realDonaldTrump's historic investments in our defense industrial base keep two of his biggest promises to voters\xe2\x80\xa6""",9684,0,0,0,Non-Aligned,0.0
1108916836157046784,2019-03-22 02:22:31,"b'RT @WhiteHouse: Today, there are plenty of reasons for that trust. Manufacturing jobs are roaring back. Blue-collar workers are set to make\xe2\x80\xa6'",8722,0,0,0,Labour,0.5106
1108838713470185472,2019-03-21 21:12:05,b'Today we celebrate the lives and achievements of Americans with Down Syndrome. @VP and I will always stand with the\xe2\x80\xa6 https://t.co/aJLGHdhcH3',20694,86474,0,1,Non-Aligned,0.0
1108823762659667970,2019-03-21 20:12:40,"b'We are here today to take historic action to defend American Students and American Values. In a few moments, I will\xe2\x80\xa6 https://t.co/iNMXLaFm0A'",33133,127160,0,1,Non-Aligned,0.0
1108772952814899200,2019-03-21 16:50:46,"b'After 52 years it is time for the United States to fully recognize Israel\xe2\x80\x99s Sovereignty over the Golan Heights, whi\xe2\x80\xa6 https://t.co/WNVb2P8PE8'",42272,178850,0,1,Non-Aligned,0.0
1108559080204001280,2019-03-21 02:40:55,"b'\xe2\x80\x9cJohn Solomon: As Russia Collusion fades, Ukrainian plot to help Clinton emerges.\xe2\x80\x9d @seanhannity  @FoxNews'",25980,84799,0,0,UKIP,0.4019
1108549811521966082,2019-03-21 02:04:05,b'\xe2\x80\x9cThe reason we have the Special Counsel investigation is that James Comey (a dirty cop) leaked his memos to a frien\xe2\x80\xa6 https://t.co/xHePE4VV6L',25256,97497,0,1,Green,0.0772
1108548803639066624,2019-03-21 02:00:05,b'https://t.co/UhTjBuWY2h',18827,71598,1,0,Non-Aligned,0.0
1108520555118903296,2019-03-21 00:07:50,b'Leaving the GREAT STATE of OHIO for the @WhiteHouse. A really great day!',14571,97565,0,0,Non-Aligned,0.8481
1108512972148596736,2019-03-20 23:37:42,b'https://t.co/ssJNhlTMzy',16857,65319,1,0,Non-Aligned,0.0
1108479818000224256,2019-03-20 21:25:57,b'ISIS Caliphate two years ago in red vs. ISIS Caliphate TODAY. (Was even worse in November 2016 before I took office\xe2\x80\xa6 https://t.co/cBkbM9wvMS',21893,74398,0,1,Non-Aligned,0.0
1108472769589633025,2019-03-20 20:57:57,b'Really beautiful to see! https://t.co/DKq2TIeiSs',39709,175011,1,0,Non-Aligned,0.0
1108471193353375744,2019-03-20 20:51:41,"b'Great news from @Ford! They are investing nearly $1 BILLION in Flat Rock, Michigan for auto production on top of a\xe2\x80\xa6 https://t.co/gluXIFB7vv'",24631,100921,0,1,Non-Aligned,0.2023
1108463989649014784,2019-03-20 20:23:04,b'I am thrilled to be here in Ohio with the hardworking men and women of the Lima Army Tank Plant! We are here today\xe2\x80\xa6 https://t.co/UKQ0MgjnUJ',20789,89391,0,1,Non-Aligned,0.3612
1108335293671845888,2019-03-20 11:51:40,"b'George Conway, often referred to as Mr. Kellyanne Conway by those who know him, is VERY jealous of his wife\xe2\x80\x99s succe\xe2\x80\xa6 https://t.co/TgFSVYlwdh'",26018,126597,0,1,Green,0.0
1108217768187449344,2019-03-20 04:04:40,"b'The Democrats are getting very \xe2\x80\x9cstrange.\xe2\x80\x9d They now want to change the voting age to 16, abolish the Electoral Colle\xe2\x80\xa6 https://t.co/xGK4FgHNmq'",31420,125748,0,1,UKIP,0.0772
1108214845294428161,2019-03-20 03:53:03,b'Not a good situation! https://t.co/uaMcSrX4yM',23344,80941,0,1,Non-Aligned,0.4404
1108190837257764864,2019-03-20 02:17:39,b'....just the large States - the Cities would end up running the Country. Smaller States &amp; the entire Midwest would\xe2\x80\xa6 https://t.co/N7cN3C4Sx6',28854,122019,0,1,Non-Aligned,0.0
1108187855954870272,2019-03-20 02:05:48,b'Campaigning for the Popular Vote is much easier &amp; different than campaigning for the Electoral College. It\xe2\x80\x99s like t\xe2\x80\xa6 https://t.co/kHqpkDh6QB',23411,92214,0,1,Green,0.7964
1108164711865028609,2019-03-20 00:33:50,"b""RT @DonaldJTrumpJr: My latest OP-Ed on Tech Censorship - check it out and RT. \n\nConservatives face a tough fight as Big Tech's censorship e\xe2\x80\xa6""",16932,0,0,0,Anti-UKIP,-0.4767
1108147024485122053,2019-03-19 23:23:33,"b'Thank you @JesseBWatters, could not have said it any better myself! https://t.co/HirL10zwZl'",36285,112966,1,0,UKIP,0.4404
1108118176754208771,2019-03-19 21:28:55,"b'Amazingly, CNN just released a poll at 71%, saying that the economy is in the best shape since 2001, 18 years! WOW,\xe2\x80\xa6 https://t.co/XzWmctKjJa'",36310,171399,0,1,Conservative,0.6369
1108036445510516736,2019-03-19 16:04:09,b'https://t.co/95I4towyEP',18263,58344,1,0,Non-Aligned,0.0
1108028566791471104,2019-03-19 15:32:51,b'I will be looking into this! #StopTheBias https://t.co/ZTWQolvmdM',23064,76298,0,1,Non-Aligned,0.0
1108004465121075200,2019-03-19 13:57:04,"b'Facebook, Google and Twitter, not to mention the Corrupt Media, are sooo on the side of the Radical Left Democrats.\xe2\x80\xa6 https://t.co/O6n2H7RrM0'",39997,159106,0,1,Green,0.0
1107997913584726020,2019-03-19 13:31:02,b'\xe2\x80\x9cYou can\xe2\x80\x99t dispel this mood of positive energy.\xe2\x80\x9d  @Varneyco  The Economy is Great!',16366,76419,0,0,Conservative,0.6249
1107983725034463232,2019-03-19 12:34:40,b'A total loser! https://t.co/vm3Vv2f9jf',15853,68845,0,1,Non-Aligned,-0.5267
1107981131012628481,2019-03-19 12:24:21,b'The Fake News Media has NEVER been more Dishonest or Corrupt than it is right now. There has never been a time like\xe2\x80\xa6 https://t.co/908OA9aZf4',34666,132727,0,1,UKIP,0.5716
1107851414779379712,2019-03-19 03:48:54,b'https://t.co/h2bZ1p3UlY',19675,61127,1,0,Non-Aligned,0.0
1107818672393990145,2019-03-19 01:38:48,b'https://t.co/QxJBMTAZqG',24406,72148,1,0,Non-Aligned,0.0
1107817082723450880,2019-03-19 01:32:29,"b'Rep. Devin Nunes Files $250M Defamation Lawsuit Against Twitter, Two Anonymous Twitter Accounts https://t.co/fT9ZXdWg7z via @thedailybeast'",22384,74032,0,1,Non-Aligned,-0.2263
1107771030385426432,2019-03-18 22:29:29,"b'While the press doesn\xe2\x80\x99t like writing about it, nor do I need them to, I donate my yearly Presidential salary of $40\xe2\x80\xa6 https://t.co/nIxoD7bCZZ'",47651,174889,0,1,Non-Aligned,0.3612
1107757465691656192,2019-03-18 21:35:35,b'https://t.co/precsXDarx',18083,58589,1,0,Non-Aligned,0.0
