id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Classification2
1105150934647169024,2019-03-11 16:58:10,"ICYMI ➡️ 3 Women Are Now the California GOP's Most Prominent Leaders
 
1️⃣ CAGOP Chairwoman Jessica… https://t.co/z94QJDzXUc",7,10,0,1,Democratic,Republican
1105144530033008642,2019-03-11 16:32:43,"Asm. @TomLackey36 on the failed high speed rail project:

""The fact of the matter is that this project is not what… https://t.co/L8thyxho1T",4,1,0,1,Non-Aligned,Non-Aligned
1105142563223199746,2019-03-11 16:24:54,This is what we've been saying all along--California is increasingly becoming a place where only rich people can af… https://t.co/N3p4HWOC9U,6,3,0,1,Democratic,Non-Aligned
1104463702059712512,2019-03-09 19:27:21,"RT @millanpatterson: Happy to be back @LAGOP. This was my first stop on the campaign trail, and my first central committee as @CAGOP Chairm…",22,0,0,0,Democratic,Democratic
1104131279186870272,2019-03-08 21:26:25,"RT @ShannonGroveCA: Happy #InternationalWomensDay! Check out these women leaders working in #CALeg to #SaveCalifornia.

@MarieWaldron75 &amp; I…",11,0,0,0,Non-Aligned,Non-Aligned
1104102369602621440,2019-03-08 19:31:32,RT @J_GallagherAD3: Read my column in the @CaliforniaAggie about how our civic dialogue has hit an all-time low &amp; why @ucdavis Prof. Clover…,19,0,0,0,Non-Aligned,Non-Aligned
1104075863446835200,2019-03-08 17:46:13,"Today, let's celebrate the strength, courage &amp; determination of women across the world. 

#InternationalWomensDay… https://t.co/JwmgCoQ0KC",6,12,0,1,Democratic,Democratic
1104071870985297920,2019-03-08 17:30:21,"RT @TheRealJohnHCox: Our leaders have failed. It isn’t compassionate to allow this to continue - soaring costs, unaffordability. Let’s reme…",44,0,0,0,Non-Aligned,Democratic
1104071430398926848,2019-03-08 17:28:36,"RT @asmMelendez: My bill AB772 Requires all substantiated sexual harassment, sexual assault, and all other types of complaints made against…",68,0,0,0,Non-Aligned,Democratic
1104054999066144769,2019-03-08 16:23:18,RT @EliseStefanik: Great piece on @tarapcampbell - a rising star in CA! @CAGOP #GOPWomem https://t.co/hlLqpy3z5j,9,0,0,1,Non-Aligned,Non-Aligned
1103790952580186112,2019-03-07 22:54:05,"RT @peterkuoGOP: As an immigrant forced to flee Taiwan because my father was spotted at an opposing political rally, the @GOP is my natural…",24,0,0,0,Non-Aligned,Democratic
1103786845198999552,2019-03-07 22:37:45,Bottom Line: @KamalaHarris has been crystal clear. She is responsible for a growing pattern of mismanagement throug… https://t.co/Py7gdA1rDL,4,18,0,1,Non-Aligned,Democratic
1103786843143716864,2019-03-07 22:37:45,"Wait… There’s More: Criticized during her campaign launch for her criminal justice record, Harris shot back: “The b… https://t.co/QsBVY9pfoQ",5,11,0,1,Democratic,Democratic
1103786840593580032,2019-03-07 22:37:44,"On Harris’ watch, a crime lab technician snorted evidence that was being used to convict drug offenders. Harris was… https://t.co/1yFJISoX3Z",7,10,0,1,Democratic,Republican
1103786839213666304,2019-03-07 22:37:44,You probably haven’t heard about Kamala Harris’ massive lapse in judgement when she was San Francisco’s district at… https://t.co/57bLPJAMEK,11,26,0,1,Democratic,Republican
1103764651165212672,2019-03-07 21:09:34,"It's #WomensHistoryMonth &amp; we're shining the spotlight on some of CAGOP's notable leading ladies, starting with the… https://t.co/ja4VDWsNIh",15,47,0,1,Non-Aligned,Non-Aligned
1103719357056671744,2019-03-07 18:09:35,RT @asmMelendez: Since so many in Sacramento like to point to the much heralded “California is the 5th largest economy in the world” as a m…,49,0,0,0,Non-Aligned,Republican
1103461064048467968,2019-03-07 01:03:13,"The never-ending cycle of bad news continues: 

The @CA_DMV is short $400 million for the current year.

""With Sacr… https://t.co/coBHMVgk6e",34,60,0,1,Non-Aligned,Republican
1103436695981056002,2019-03-06 23:26:23,"RT @ShannonGroveCA: Because of the #DynamexDecision, college students who work in the gig economy to afford books will have to create a bus…",14,0,0,0,Non-Aligned,Non-Aligned
1103427162449707008,2019-03-06 22:48:30,...and Sacramento is already off to a strong start in 2019! Here’s what they want to tax so far (hint: it’s a lot)… https://t.co/cviXJKNBwB,21,24,0,1,Non-Aligned,Republican
1103364312796585985,2019-03-06 18:38:46,"RT @asmMelendez: Here are the new tax bills introduced this year. 

Tax on services SB522
Tax on soda AB 138
Tax on firearms AB 18
Tax on t…",189,0,0,0,Democratic,Republican
1103364144659496961,2019-03-06 18:38:06,"RT @AssemblyGOP: On this Ash Wednesday wishing you a blessed day of prayer, fasting and repentance. https://t.co/3NUYDo1Nd7",7,0,1,0,Non-Aligned,Non-Aligned
1103361617108975616,2019-03-06 18:28:03,"FYI: @KatieHill4CA, @joshua_harder, @katieporteroc &amp; @MikeLevinCA support ending your private healthcare plan.
https://t.co/b5QKm7sjkF",7,4,0,1,Democratic,Democratic
1103354194193395712,2019-03-06 17:58:33,"The average rent for a one bedroom apartment in Gavin Newsom's city is $3,700 a month. 

Under decades of failed le… https://t.co/6BQMQjsemJ",26,32,0,1,Non-Aligned,Non-Aligned
1103055633899614208,2019-03-05 22:12:11,"Kamala Harris has only been a candidate for a month, but she’s already had an entire campaign’s worth of calamity…
https://t.co/oU0oWlHjmz",11,15,0,1,Non-Aligned,Democratic
1103021205123026944,2019-03-05 19:55:23,"This week, Congressional Dems proposed another radical government takeover of healthcare.
 
25 CA Dems have already… https://t.co/ZfJgYCLgHB",8,15,0,1,Non-Aligned,Non-Aligned
1103015738955190273,2019-03-05 19:33:39,"Majority of Americans agree: socialism is NOT the way forward.
https://t.co/mBo9jiwVsR",5,10,0,1,Non-Aligned,Democratic
1103000112249298944,2019-03-05 18:31:34,"RT @AsmVinceFong: Feb 1-17, CA got enough rain to fill 27 million Olympic-size pools. Sadly, much of this precious water flows out into the…",49,0,0,0,Non-Aligned,Non-Aligned
1102750658933927936,2019-03-05 02:00:19,RT @JimPatterson559: The @latimes got it right. @CaHSRA is doomed. All work needs to be stopped until we can be assured they'll have the fu…,28,0,0,0,Non-Aligned,Non-Aligned
1102674059303612416,2019-03-04 20:55:57,"Here's the billion dollar question: 

Will Democrats in Sacramento continue to waste billions of taxpayer dollars o… https://t.co/E0j2cbxAOr",15,13,0,1,Democratic,Republican
1102626772321882112,2019-03-04 17:48:02,The @SFGiants missed out on signing a 10-year deal with MLB superstar @Bharper3407. Why? Because California taxes a… https://t.co/RtLvIjyovX,36,72,0,1,Democratic,Republican
1102372287196459008,2019-03-04 00:56:49,RT @latimes: The California bullet train project will probably run out of money before it can fulfill Gavin Newsom’s modest plan to build a…,69,0,0,0,Democratic,Democratic
1102334170297069568,2019-03-03 22:25:21,"RT @ShannonGroveCA: “I think women everywhere should be able to share their story, so that we can empower &amp; pass the mantle on to the next…",6,0,0,0,Republican,Non-Aligned
1101935206414594050,2019-03-02 20:00:00,"ICYMI --&gt; @AsmVinceFong posted in Medium about the ruling majority continuing to be disconnected from reality

High… https://t.co/cLL7QQqSWT",13,18,0,1,Non-Aligned,Republican
1101652475935744001,2019-03-02 01:16:32,RT @pnjaban: Glad to hear about the arrest of the thug suspected of punching our client Hayden Williams @ucberkeley. No one should be attac…,268,0,0,0,Non-Aligned,Republican
1101636837779496960,2019-03-02 00:14:24,RT @CAGOP: @CATargetBot California Democrats give a half million to the encore of the recall of Josh Newman. Voters recalled Newman in June…,8,0,0,0,Non-Aligned,Republican
1101636385910341632,2019-03-02 00:12:36,@CATargetBot California Democrats give a half million to the encore of the recall of Josh Newman. Voters recalled N… https://t.co/CZEAFvuckL,8,12,0,1,Non-Aligned,Republican
1101611441755283456,2019-03-01 22:33:29,"Happy #ReadAcrossAmericaDay!
 
“The more that you read, the more things you will know. The more that you learn, the… https://t.co/YyOozWypPy",17,47,0,1,Democratic,Non-Aligned
1101568883931013120,2019-03-01 19:44:22,"Thank you to @SenatorPatBates for your service and dedication to the @SenateRepCaucus. 

Congratulations to Senate… https://t.co/Sujx6VguJp",2,24,0,1,Non-Aligned,Republican
1101564613177430016,2019-03-01 19:27:24,"So much for fairness. Gov. @GavinNewsom is bullying small towns like Wheatland (3,700 people) and giving a pass to… https://t.co/f1AHYVN7yu",9,15,0,1,Democratic,Democratic
1101553272492503040,2019-03-01 18:42:20,"From the water tax to the gas tax, Gov. @GavinNewsom has never met a tax he didn't like. #CALeg 
https://t.co/HsFQsp7tlu",11,21,0,1,Republican,Democratic
1101534773711798272,2019-03-01 17:28:50,RT @SenatorPatBates: Best wishes to @ShannonGroveCA as she takes over as @SenateRepCaucus Leader today! #caleg https://t.co/LD0IwfLDFL http…,13,0,0,1,Non-Aligned,Non-Aligned
1101279790990946304,2019-03-01 00:35:37,"RT @ShannonGroveCA: “From taxing soda to tires to water, the majority party continues to want more of your hard-earned money,” Senate Repub…",24,0,0,0,Non-Aligned,Democratic
1101269048870883328,2019-02-28 23:52:56,"Here’s what Democrats DON’T want you to know: this government takeover of healthcare would cost $32 TRILLION.
https://t.co/9DBBOSkJyF",16,30,0,1,Democratic,Democratic
1101267501084598272,2019-02-28 23:46:47,RT @millanpatterson: Spoiler alert 🚨: it won’t as long as #CaDem 1 party rule continues. https://t.co/GxOgbBekn2,29,0,0,1,Non-Aligned,Democratic
1101253429144346624,2019-02-28 22:50:52,"Survey after survey and it always has the same conclusion:

Californians can't afford to live in this state. 

cc -… https://t.co/FZ18YOnNq9",11,30,0,1,Democratic,Democratic
1101222145198186496,2019-02-28 20:46:33,"ICYMI from the @AssemblyGOP --&gt; Dems Work to Hide Public Records

""Transparency shouldn’t be a partisan issue, but… https://t.co/oEN5DYEW4L",10,13,0,1,Non-Aligned,Republican
1101221017156968448,2019-02-28 20:42:04,"RT @GOP: As we honor the outstanding trailblazers during #BlackHistoryMonth, we also recognize the RNC’s rising stars from minority communi…",146,0,0,0,Democratic,Democratic
1101176645455507457,2019-02-28 17:45:45,"In 2014, a UC Davis professor called for the killing of cops. These comments are horrible, especially with the rece… https://t.co/nYTlaAZsXf",12,16,0,1,Non-Aligned,Non-Aligned
1101175286350016512,2019-02-28 17:40:21,RT @AsmVinceFong: More taxes proposed by Sacramento last week. When will it stop? https://t.co/QHG9LmlpWu,22,0,0,1,Non-Aligned,Non-Aligned
1100925594722689024,2019-02-28 01:08:10,"RT @AssemblyGOP: Check out our ICYMI: Dems Work to Hide Public Records, Republicans Push for Transparency

https://t.co/1mUuFSHicU",6,0,0,1,Non-Aligned,Democratic
1100908532218515456,2019-02-28 00:00:22,RT @Kevin_Faulconer: Great catching up with @millanpatterson. With her as @CAGOP chair we are focusing on building a party that can compete…,27,0,0,0,Non-Aligned,Republican
1100884801186279424,2019-02-27 22:26:04,"To waste billions of dollars or to not waste billions of dollars...that is the question #CAHSR 
https://t.co/FMFP4hrsRO",9,21,0,1,Non-Aligned,Non-Aligned
1100873823476305922,2019-02-27 21:42:27,"Think about this: To cover the cost of Democrats’ $93 trillion ‘Green New Deal’, every American household could be… https://t.co/heeLrmUOIV",17,20,0,1,Democratic,Democratic
1100864974690279424,2019-02-27 21:07:17,"@gkinghorn @millanpatterson Thank you, Gary! We appreciate your support, and we're going to need all the help we ca… https://t.co/zFmaoGnsu5",1,3,0,1,Democratic,Democratic
1100862596985442304,2019-02-27 20:57:50,"RT @JimPatterson559: The Motor Voter audit has been months in the making with 100,000+ registration errors. Glad to work with JLAC Chair @r…",14,0,0,0,Democratic,Democratic
1100862380492214272,2019-02-27 20:56:59,"RT @AsmVinceFong: FOTD! Since 2011, Sacramento has increased CA fees $669.5 million annually. https://t.co/6rptO8UJgT",23,0,1,0,Non-Aligned,Non-Aligned
1100859404356710400,2019-02-27 20:45:09,Results from decades of failed @CA_Dem policies --&gt; 53% of Californians want to leave the state because of the high… https://t.co/HMJSQjra2X,47,62,0,1,Non-Aligned,Republican
1100854647013535744,2019-02-27 20:26:15,"RT @AssemblyGOP: History was made last year when Regina Scott, U.S. Army Veteran,  became the first African American women Deputy Chief of…",6,0,0,0,Democratic,Democratic
1100813582994817024,2019-02-27 17:43:04,"RT @SFGOP: The CAGOP will be back in 2020.  The SFGOP is organizing. If you're a San Francisco Republican, go to https://t.co/fe4YFAIPd9 to…",5,0,0,1,Democratic,Republican
1100572651813130240,2019-02-27 01:45:42,Columnist doesn't like humor to criticize Sac's ridiculous soda tax &amp; thinks soda &amp; heroin usage are equal. Now THA… https://t.co/n0csrETQhM,7,26,0,1,Republican,Republican
1100543608824815616,2019-02-26 23:50:18,"RT @BryanRAnderson: 🚨🚨Important: The DMV's main funding source is on the verge of insolvency. If lawmakers don’t take action, customers cou…",12,0,0,0,Non-Aligned,Non-Aligned
1100513763764195329,2019-02-26 21:51:42,"RT @millanpatterson: Every single day #CADems are putting forth policies that have made CA 45th in the nation for education, 1st in poverty…",59,0,0,0,Non-Aligned,Democratic
1100506341586591744,2019-02-26 21:22:12,"REMINDER: Democrats would have to tax every household earning more than $30,000 at a 100% rate for 10 years to gene… https://t.co/xJWeV6UMUf",17,23,0,1,Democratic,Democratic
1100496865647157248,2019-02-26 20:44:33,All of us right now 😂 ⬇️ https://t.co/sK74WanJsM,4,26,0,1,Non-Aligned,Democratic
1100496346325417985,2019-02-26 20:42:29,RT @JimPatterson559: ATTENTION CA DRIVERS: The cost to register your car or renew your license will go up again - and soon. The DMV's bank…,26,0,0,0,Non-Aligned,Democratic
1100451320161394688,2019-02-26 17:43:34,RT @Cunning_Jordan: Human Trafficking is modern day slavery. We were able to pass a number of important bills to fight trafficking last yea…,15,0,0,0,Non-Aligned,Non-Aligned
1100178610755760128,2019-02-25 23:39:55,"How does the Democrat-controlled #CAleg plan on addressing homelessness, poverty and income inequality? By increasi… https://t.co/f19RLSUdRh",14,22,0,1,Democratic,Democratic
1100115117750927360,2019-02-25 19:27:37,"If you’re giving us a choice, we’ll just take the congratulations. Jessica is going to be a great chair! 

You can… https://t.co/VqFDDsfnhK",28,146,0,1,Republican,Non-Aligned
1099881810895396865,2019-02-25 04:00:33,RT @millanpatterson: I want to express my deepest gratitude for the confidence my fellow delegates have placed in me.  Let’s do this!  http…,67,0,0,0,Non-Aligned,Democratic
1099830701220712448,2019-02-25 00:37:27,RT @GOP_PR51: @ZoriFonalledas @KevinORomero @GOPChairwoman @millanpatterson @CAGOP @RNCLatinos @_Sbenitez Congratulations to the @CAGOP in…,6,0,0,0,Non-Aligned,Republican
1099826690526597120,2019-02-25 00:21:31,RT @DonaldJTrumpJr: Congrats @Millanpatterson on becoming the new Chair of the California Republican Party! #MAGA https://t.co/GDaSk60OrK,1431,0,0,1,Democratic,Republican
1099826124178116613,2019-02-25 00:19:16,RT @kevinomccarthy: Fantastic @CAGOP news. Congrats @millanpatterson! https://t.co/ynu4qS5f9z,57,0,0,1,Non-Aligned,Republican
1099807037569945602,2019-02-24 23:03:25,RT @adlerben: .@millanpatterson kisses her husband Wes moments after being elected @CAGOP chair. Great photo from @CPR_Andrew https://t.co/…,37,0,0,0,Non-Aligned,Republican
1099801512836886528,2019-02-24 22:41:28,“We need to get back into communities. We need to start engaging people... We need to make them feel comfortable an… https://t.co/hNCspiT3Nt,39,137,0,1,Democratic,Non-Aligned
1099794054559162368,2019-02-24 22:11:50,".@millanpatterson ➡️ California Republican Party elects first woman, Latina to be its leader https://t.co/VqnUzv6qrx",118,340,0,1,Democratic,Democratic
1099778059870232576,2019-02-24 21:08:17,"RT @GOPChairwoman: Congratulations to newly-elected @CAGOP Chair @millanpatterson!
https://t.co/ko3jDo35Yq",312,0,0,1,Non-Aligned,Republican
1099772596826984448,2019-02-24 20:46:34,"#WinLikeAGirl ⬇️

@AssemblyGOP Leader Marie Waldron

@CAGOP Chair Jessica Patterson

@SenateRepCaucus Leader Shanno… https://t.co/ntOAIAtmOO",25,106,0,1,Democratic,Republican
1099764127164030976,2019-02-24 20:12:55,Thank you to our outgoing Chair Senator Jim Brulte (Ret.) for your many years of service and dedication to the Cali… https://t.co/auNDu4l5yB,16,75,0,1,Republican,Republican
1099761443153428481,2019-02-24 20:02:15,"RT @adlerben: For the first time in @CAGOP history, the party will be led by a woman. @millanpatterson has been elected chair with 54.5% of…",58,0,0,0,Non-Aligned,Non-Aligned
1099761050591780864,2019-02-24 20:00:41,"RT @Kevin_Faulconer: Congratulations to the new Chairwoman of the @cagop, @millanpatterson! I look forward to working with her to offer Cal…",23,0,0,0,Non-Aligned,Republican
1099760983856181248,2019-02-24 20:00:25,RT @J_GallagherAD3: Congratulations @millanpatterson on your election as @CAGOP Chair!  I look forward to continuing our work together to r…,1,0,0,0,Non-Aligned,Republican
1099759463936880640,2019-02-24 19:54:23,"Congratulations to Gregory Gandrud on his election to become the new Treasurer of the California Republican Party! 
#CAGOP2019 #CAGOP19",4,12,0,0,Democratic,Democratic
1099759036981862400,2019-02-24 19:52:41,RT @cebryant: I’m so excited to help @millanpatterson usher in a new era for the @cagop. #winlikeagirl,7,0,0,0,Non-Aligned,Non-Aligned
1099758274046382080,2019-02-24 19:49:39,Congratulations to Randy Berholtz on his election to become the new Secretary of the California Republican Party!… https://t.co/90FiWYmPYT,3,12,0,1,Democratic,Democratic
1099757269829316608,2019-02-24 19:45:40,Congratulations to Peter Kuo on his election to become the new Vice Chair of the California Republican Party!… https://t.co/GBBHkSZgAY,15,40,0,1,Democratic,Democratic
1099755241581436928,2019-02-24 19:37:36,RT @shannongrove: Congratulations @JessicaPatterson for your election to CRP Chair.  We are looking forward to working with you.  #ShePower…,7,0,0,0,Non-Aligned,Non-Aligned
1099754860310757376,2019-02-24 19:36:05,RT @MarieWaldron75: Congratulations @millanpatterson on being elected our @CAGOP first woman chair!  We look forward to moving our party fo…,28,0,0,0,Non-Aligned,Republican
1099753820920340480,2019-02-24 19:31:58,"Congratulations to Jessica Patterson on her new election as Chair of the California Republican Party! 

We also wan… https://t.co/9usNfrvmU4",169,497,0,1,Democratic,Democratic
1099749047508774912,2019-02-24 19:12:59,"Congratulations to Mike Osborn on his election to become Chair, County Chairmen's Association.",7,19,0,0,Democratic,Non-Aligned
1099734607518347264,2019-02-24 18:15:37,"RT @joegarofoli: Have not seen this many people —1,514– at a ⁦@CAGOP⁩ convention in forever. Definitely a buzz here as Republicans about to…",38,0,0,0,Non-Aligned,Republican
1099729353313640448,2019-02-24 17:54:44,"Final day ➡️ Please check back for CRP election updates!

#CAGOP2019 #CAGOP19 https://t.co/PxguAtdUft",0,7,1,0,Non-Aligned,Non-Aligned
1099718604155609089,2019-02-24 17:12:01,"RT @TylerDiep: Here is the printed version in today’s @ocregister. 

#Water #Tax #WaterTax https://t.co/W8Ljx3LyZ5",19,0,1,0,Non-Aligned,Non-Aligned
1099704304225509376,2019-02-24 16:15:12,RT @saccountygop: Prayer Breakfast ⁦@CAGOP⁩ reporting on amazing response from LDS and others to support Camp Fire victims. https://t.co/kt…,5,0,0,0,Non-Aligned,Republican
1099546537103740929,2019-02-24 05:48:17,RT @YatesDCIA: Thank you to the @CAGOP for inviting me to speak at their spring Convention! It was an honor to discuss national security wi…,8,0,0,0,Republican,Republican
