id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1099568722778431489,2019-02-24 07:16:27,b'Dawn breaks over #rguhack2019. Good morning everyone!',0,2,0,0,Labour
1099406871620976640,2019-02-23 20:33:18,"b'Congratulations to Conor, winner of the web development mini-game at #RGUHack2019 ! https://t.co/waoGEBov54'",0,2,1,0,Non-Aligned
1099380101232422912,2019-02-23 18:46:56,b'#rguhack2019 in full swing! https://t.co/YQRsu3gIre',2,6,1,0,Non-Aligned
1099359723512623104,2019-02-23 17:25:57,b'Let the games begin at #rguhack2019 https://t.co/gart6yf6M8',0,1,1,0,Non-Aligned
1099322681059610625,2019-02-23 14:58:46,"b""Full attendance for John's API workshop at #RGUHack2019! https://t.co/WbtNAx3LzX""",0,4,1,0,Non-Aligned
1099099987869396992,2019-02-23 00:13:52,"b'Good news everyone, the food for #rguhack2019 arrived on time! See you from 10am tomorrow ^_^ https://t.co/qPfRtPts5T'",0,1,1,0,Non-Aligned
1068849620778983425,2018-12-01 12:49:42,b'Practicing for technical interviews with our algorithms workshop! #rguhackday #MLHlocalhost @MLHacks https://t.co/n7pjdgFb79',0,1,1,0,Non-Aligned
1040625200251973632,2018-09-14 15:35:56,"b'Welcome to the committee: Shaw Eastwood, Eilidh Southren, Amartya Yadav, Allan Noble, Zhaklina Velcheva, Jess McGow\xe2\x80\xa6 https://t.co/kkwCakpWVy'",1,7,0,1,SNP
985695889741242368,2018-04-16 01:46:28,b'RT @RGUHack: The overall winner at RGUHack 2018 was... Team https://t.co/fbdESCXaIl with their real time speech translation into meeting ro\xe2\x80\xa6',5,0,0,1,SNP
985695875182850050,2018-04-16 01:46:24,b'RT @RGUHack: In overall 2nd place at RGUHack 2018 was... Team Gysum with their visualization of ship data on a 3D globe which could be cont\xe2\x80\xa6',3,0,0,0,Non-Aligned
985695861836574720,2018-04-16 01:46:21,b'RT @RGUHack: In overall 3rd place at RGUHack 2018 was... Team Pacman with their trio of retro games remade! #RGUHack #Aberdeen @MLHacks htt\xe2\x80\xa6',4,0,0,0,Non-Aligned
985695845034143745,2018-04-16 01:46:17,"b""RT @RGUHack: Winning the 'Best Social Media Post' prize at RGUHack was Connor Haining (@conhaining) #RGUHack #Aberdeen #BigScreenBigStage @\xe2\x80\xa6""",5,0,0,0,SNP
985695831138471936,2018-04-16 01:46:14,b'RT @RGUHack: Winning the RGU Computing School prize at RGUHack was team Kate #RGUHack #Aberdeen @MLHacks  @RGUComputing https://t.co/TMvNzV\xe2\x80\xa6',4,0,0,0,Non-Aligned
985695819331497985,2018-04-16 01:46:11,b'RT @RGUHack: Winning the Brightree prize at RGUHack was team ShipHappens from Dundee! #RGUHack #Aberdeen @MLHacks @Brightree https://t.co/E\xe2\x80\xa6',7,0,0,0,SNP
985357994811633665,2018-04-15 03:23:47,"b'RT @RGUHack: Lockpicking workshop by @Blankeh has ended at RGUHack 2018, nice to introduce so many hackers to lockpicking that have never d\xe2\x80\xa6'",3,0,0,0,Non-Aligned
985357965329870849,2018-04-15 03:23:40,"b'RT @RGUHack: Slideshow karaoke hosted by @ljf_io went well at RGUHack 2018, some really funny presentations \xf0\x9f\xa4\xaa #RGUHack #Aberdeen @MLHacks h\xe2\x80\xa6'",3,0,0,0,SNP
985294645889560576,2018-04-14 23:12:04,"b""RT @TeamCodify: Good Luck to all those taking part in the RGU Hack this weekend. We'll be there if you want to talk software development wi\xe2\x80\xa6""",1,0,0,0,SNP
985248406531723264,2018-04-14 20:08:19,b'RT @RGUHack: Hackers are back at work after a devouring some delicious Dominos pizza! \xf0\x9f\x8d\x95 #RGUHack #Aberdeen @MLHacks @Dominos_UK',2,0,0,0,SNP
985247956348604417,2018-04-14 20:06:32,"b""RT @RGUHack: We're back LIVE! - Head over to https://t.co/ovYOdPLiFq to watch RGUHack LIVE :-) #RGUHack #Aberdeen""",1,0,0,1,SNP
985171469398405120,2018-04-14 15:02:36,b'RT @RGUHack: Hacking has commenced and we\xe2\x80\x99re now 3 hours in! Projects seem to be coming along well. Only 2 hours until pizza time! \xf0\x9f\x8d\x95 #RGUHa\xe2\x80\xa6',3,0,0,0,DUP
