id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1110244613820989442,2019-03-25 18:18:37,"'Before people rush towards a Norway deal, I should note that scones and coffee for 2 in Bergen cost us \xc2\xa325.  #brexit #Norway #justsayin'",0,4,0,0,Democratic
1110214025667887104,2019-03-25 16:17:05,'And so say all of us. https://t.co/ZbaTKsuYOp',1867,9958,0,1,Non-Aligned
1109498193253945345,2019-03-23 16:52:37,"'\xf0\x9f\x93\xbd\xef\xb8\x8f @NicolaSturgeon: ""It is too easy to feel a sense of despair, but my message is a message of hope"".\xe2\x80\xa6 https://t.co/c6LTzrRIv9'",1116,3259,0,1,Non-Aligned
1106566855672692736,2019-03-15 14:44:32,"""In these troubled times, when it can feel as though hate and fear are driving the whole world's events, being hopef\xe2\x80\xa6 https://t.co/Y3FFQf9STE""",33,136,0,1,Democratic
1106231732603375618,2019-03-14 16:32:52,'The Tories have made the UK parliament a laughing stock and Labour have confirmed their status as the spineless mid\xe2\x80\xa6 https://t.co/22GYKvqsFI',771,1966,0,1,Non-Aligned
1105597096672010240,2019-03-12 22:31:03,'Heheheheh. https://t.co/hnbnHltkXH',0,4,0,1,Non-Aligned
1105456688038072321,2019-03-12 13:13:07,'@ChrisMasonBBC Is \xe2\x80\x9cheavy heart\xe2\x80\x9d a synonym for \xe2\x80\x9cspineless concern for my own career\xe2\x80\x9d?',1,8,0,0,Non-Aligned
1102856905758781440,2019-03-05 09:02:31,"'Watching this makes me feel sad and angry in equal measure. Tove, Danish born, has lived in Scotland for 59 years a\xe2\x80\xa6 https://t.co/nlngrNVDDb'",4608,13532,0,1,Democratic
1102690878244704257,2019-03-04 22:02:47,'The Queen song \xe2\x80\x9cWho wants to live forever\xe2\x80\x9d is 100% about Christopher Lambert being an immortal Scottish sword dude.\xe2\x80\xa6 https://t.co/aCXSQM99Y0',0,2,0,1,Non-Aligned
1099275500088889344,2019-02-23 11:51:17,'Our last challenge comes from our very own computing school @RGUComputing hosted by @wildfireone! #RGUHack2019 #Sponsor - Thank you!',1,4,0,0,Non-Aligned
1098989565090639872,2019-02-22 16:55:05,'A longlist of the most creative and interesting entries from the World Data Visualization Prize. Which is your favo\xe2\x80\xa6 https://t.co/Nd7X8L44pU',51,133,0,1,Non-Aligned
1098728439459262469,2019-02-21 23:37:28,"'\xe2\x80\x9cAnd in not giving in to the fear that giving airtime to such attitudes is to condone them, Levine and the makers p\xe2\x80\xa6 https://t.co/HolZyhSWjJ'",39,502,0,1,Democratic
1097151314922893312,2019-02-17 15:10:32,'If you\xe2\x80\x99ve nothing better to do - ask Alexa \xe2\x80\x9cAlexa \xe2\x80\x93 what\xe2\x80\x99s one hundred in Welsh?\xe2\x80\x9d You might not want little ones or\xe2\x80\xa6 https://t.co/aLRRpIytEW',565,3654,0,1,Democratic
1094255820081152000,2019-02-09 15:24:52,'So some potentially big news. Been shortlisted for a #TEDx talk. Feels so amazing...what a couple of weeks!\xe2\x80\xa6 https://t.co/riaU2X7lpf',0,18,0,1,Non-Aligned
1090994179667316736,2019-01-31 15:24:16,'I did it! Massive thanks to all for your supportive messages and help. To the best supervisor in the world\xe2\x80\xa6 https://t.co/1XA4UkUbrl',2,40,0,1,Republican
