id,created_at,text,retweet_count,favorite_count,media_count,url_count,Party,Sentiment
1100891209533403137,2019-02-27 22:51:32,woman dog photographi,0,0,1,0,NA,0
1100891198548557826,2019-02-27 22:51:29,hold court photographi,0,0,1,0,NA,0
1100891188276748290,2019-02-27 22:51:27,car photographi,0,0,1,0,NA,0
1100528838528978946,2019-02-26 22:51:36,palm photographi,0,4,1,0,NA,0
1100498620841951232,2019-02-26 20:51:32,hard work photographi,0,2,1,0,NA,0
1100166472624717829,2019-02-25 22:51:41,fedora fish photographi,0,1,1,0,NA,0
1099266375883862016,2019-02-23 11:15:02,great start rguhack rgucomput,1,7,1,0,NA,0
1099244973520814080,2019-02-23 09:49:59,thi total appear rguhack rguhack tweetwal onc stick choic trycatch block shoddi tweetwal code,0,1,0,0,NA,0
1099097286573993985,2019-02-23 00:03:08,realli look forward rguhack tomorrow cant wait see mad invent competitor get rgucomput,0,2,0,0,NA,0
1099049412196737024,2019-02-22 20:52:53,rt infobeauti longlist creativ interest entri world data visual prize favourit,49,0,0,0,NA,0
1097263031271206912,2019-02-17 22:34:27,morn market photographi,0,2,1,0,NA,0
1097263006579335170,2019-02-17 22:34:21,ingredi photographi,0,1,1,0,NA,0
1097260425262043136,2019-02-17 22:24:06,light boat photographi,0,2,1,0,NA,0
1095821423564722176,2019-02-13 23:06:01,pass light photographi,0,0,1,0,NA,0
1095818692548616192,2019-02-13 22:55:10,pass light photographi,0,1,1,0,NA,0
1095799271931170823,2019-02-13 21:38:00,light fisher photographi,0,0,1,0,NA,0
1095789955249520640,2019-02-13 21:00:58,market photographi,0,0,1,0,NA,0
1094351018073174016,2019-02-09 21:43:09,get readi photographi,0,0,1,0,NA,0
1094328369179705346,2019-02-09 20:13:09,light seller photographi photo,0,3,1,0,NA,0
1093996777404010497,2019-02-08 22:15:31,tmorrow load photographi photo,0,3,1,0,NA,0
1092909127607693318,2019-02-05 22:13:35,long wait photographi photo,0,2,1,0,NA,0
1092909110964731916,2019-02-05 22:13:31,stand armi photographi photo,0,0,1,0,NA,0
1091688716525985792,2019-02-02 13:24:07,well escal quickli kirriemuir angu,0,1,0,1,NA,0
1091087335805079552,2019-01-31 21:34:26,morn mountain photographi,0,3,1,0,NA,0
1090924219725213697,2019-01-31 10:46:17,linkedin ha inform rgucomput four year desk hasnt got ani tidier met amaz peopl,0,7,0,0,NA,0
1090754318230306818,2019-01-30 23:31:09,ha long hawk photographi,0,2,1,0,NA,0
1090754308663062528,2019-01-30 23:31:07,potenti rice photographi,0,2,1,0,NA,0
1090027346315436032,2019-01-28 23:22:25,pastel island photographi,0,3,1,0,NA,0
1090027335871594497,2019-01-28 23:22:23,vietnameditjpg photographi,0,6,1,0,NA,0
1090027327034150913,2019-01-28 23:22:21,commut view photographi,0,2,1,0,NA,0
1089651169977401344,2019-01-27 22:27:38,pmcguir ha long bay vietnam,0,1,0,0,NA,0
1089634803505340417,2019-01-27 21:22:36,morn bay photographi,0,6,1,0,NA,0
1089634792864387072,2019-01-27 21:22:33,late catch photographi,0,5,1,0,NA,0
1089634781137117184,2019-01-27 21:22:30,even flight photographi,0,9,1,0,NA,0
1089272422283595781,2019-01-26 21:22:37,huc night photographi,0,2,1,0,NA,0
1089272367577214976,2019-01-26 21:22:24,home time photographi,0,2,1,0,NA,0
1089272358618234881,2019-01-26 21:22:22,street life photographi,0,2,1,0,NA,0
1089272347536822277,2019-01-26 21:22:20,shoe tile photographi,0,2,1,0,NA,0
1089129667200798722,2019-01-26 11:55:22,ruthedward thank wa vietnam bit week got back process photo,0,1,0,0,NA,0
1088954801566683138,2019-01-26 00:20:31,tourist photographi,0,2,1,0,NA,0
1088954793660436481,2019-01-26 00:20:29,come photographi,0,1,1,0,NA,0
1088912034790625280,2019-01-25 21:30:34,life rail photographi,1,3,1,0,NA,0
1088912024120279040,2019-01-25 21:30:32,lowdown train street photographi,0,2,1,0,NA,0
1088912014200721409,2019-01-25 21:30:29,citi templ photographi,1,1,1,0,NA,0
1085494135434268673,2019-01-16 11:09:04,ekrissi hardiman thank kristina,0,0,0,0,NA,0
1085462749981732865,2019-01-16 09:04:21,hardiman thank,0,0,0,0,NA,0
1085333146483122177,2019-01-16 00:29:21,pmcguir rosieb go szimpla kert yellow zebra,0,1,0,0,NA,0
1083331490153299969,2019-01-10 11:55:29,richardla paulstothard uklabour,0,1,1,0,NA,0
1082875915909005312,2019-01-09 05:45:11,realdonaldtrump wallop,0,0,0,0,NA,0
1082630094714064897,2019-01-08 13:28:23,skynew love thi advert show hsbc aim busi forward think educ market gammon,0,2,0,0,NA,0
1078238613354082305,2018-12-27 10:38:12,good journey begin airport bar newcastl intern airport,0,0,0,1,NA,0
1077600334216859649,2018-12-25 16:21:55,shivap thank shiva ye veri well hope good merri christma,0,0,0,0,NA,0
1077536188670640128,2018-12-25 12:07:01,rt edwardtuft onli twitter,93,0,0,1,NA,0
1077536006595850242,2018-12-25 12:06:18,dxfalcon travesti die hard ace onli wish made sequel matrix imagin good matrix,0,1,0,1,NA,0
1077534477335871488,2018-12-25 12:00:13,rt thesnp twa nightmar befor brexit,2877,0,1,0,NA,0
