id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103183692330139648,2019-03-06 06:41:03,RT @starstrickenSF: I grew up thinking I was REALLY bad at math. I was told by multiple teachers that only those “gifted” at math could bec…,675,0,0,0
1099823290959441921,2019-02-25 00:08:00,"RT @emdoyl: 2011: The world’s gonna end next year...like probably....bc of something w the Mayans

People: *freaking out*

2019: There is S…",201532,0,0,0
1099699924822904832,2019-02-24 15:57:48,Wonder what it will take for my parents to realise that my PhD is a 'real job' with 'real stresses' and not just 'm… https://t.co/clo7dprgu6,0,3,0,1
1099695507390283776,2019-02-24 15:40:14,"RT @ProfBrianCox: I’ve been through about ten revisions of this tweet, trying to remain civil, but I am finding it hard to contain my anger…",10193,0,0,0
1097174527350575104,2019-02-17 16:42:46,RT @matthaig1: Amazing the amount of people who think 52 per cent is a conclusive Brexit result but won’t accept the 98 per cent of scienti…,6774,0,0,0
1091050756575318018,2019-01-31 19:09:05,"RT @CuriousQuail: “My girlfriend goes to a different school, you don’t know her.” https://t.co/n2doFarhuS",5,0,1,0
1089241470312349701,2019-01-26 19:19:38,RT @el_branbran: You be holding it together til you hear “you good?” https://t.co/JgvFbuyN48,120109,0,0,1
1089209891942789120,2019-01-26 17:14:09,"Science is not memorising, taking tests and getting the answers right, and this mentality discourages and isolates… https://t.co/VMNu0wpSMj",0,0,0,1
1089208577984729088,2019-01-26 17:08:56,"""We teach science like the questions have been answered... I and that's not how science works""
YES YES YES I'm so g… https://t.co/GIAUdNWBQb",0,0,0,1
1087318505945485312,2019-01-21 11:58:27,RT @Zendaya: Personal goal this year; to keep things in perspective and allow myself to thoroughly enjoy things instead of over analyzing a…,71496,0,0,0
1082911123656134656,2019-01-09 08:05:06,RT @702Austin: I need a Disney short about the night Edna babysat https://t.co/QCWnz7yuiL,60910,0,0,1
1082910988070989824,2019-01-09 08:04:33,First 5k of 2019 is done.. I think i might die 😴😴,0,4,0,0
1081157159285608448,2019-01-04 11:55:28,"RT @AbbyCookkkk: If ppl want to post 30 ig stories, let them. If a couple wants to post pictures with cheesy captions, let them. If someone…",112500,0,0,0
1081146090748080129,2019-01-04 11:11:29,"RT @haveigotnews: After a vegan sausage roll sends Piers Morgan into a meltdown, experts say it’s a good job he isn’t one of those easily-o…",13326,0,0,0
1079868068308942853,2018-12-31 22:33:05,"RT @DanielleHope26: You won't find me making resolutions, instead, I'll be doing what makes me feel good and growing with it. have a safe n…",18,0,0,0
1079774363128344576,2018-12-31 16:20:44,"RT @AstroKatie: Whatever else happens, the new year will bring us all 3.5 billion kilometers closer to our cosmic friends in the Andromeda…",807,0,0,0
1079377858567512064,2018-12-30 14:05:10,"RT @Emilyvaughnx: bandersnatch: frosties or sugar puffs 
me: ??????????????????????????? 
??????????????????????????? ????????? ???????????…",74952,0,0,0
1072917387635277824,2018-12-12 18:13:33,@hannahinabucket I love you Hannah ❤️❤️,0,1,0,0
1072895905391673345,2018-12-12 16:48:11,RT @MartijnPeters_: To all people out there who are into #science. Never forget that being a 'good' scientist has nothing to do whatsoever…,19,0,0,0
1068461700561686529,2018-11-30 11:08:15,"Who knew that 4 months in Warsaw would lead to 2 publications?!😍🎉
But on another note how feasible would this have… https://t.co/qXjqY2Q6dU",0,8,0,1
1068457096436424709,2018-11-30 10:49:57,Science knows no Borders - EuroCirCol https://t.co/DW6hzKOU4u via @YouTube,0,0,0,1
1068197228706217984,2018-11-29 17:37:20,RT @AlexTaylorNews: This is truly outrageous. The PM doesn't realise that ending free movement for EU citizens into the UK will work the ot…,7034,0,0,0
1068079546589765637,2018-11-29 09:49:42,"RT @MelanieBagg: ‘People see a selfie and think mwah she has no substance, but how else do we humanise scientists?’ @SamanthaZY @WCSFP #Wom…",3,0,0,0
1066751726265528321,2018-11-25 17:53:25,"RT @Aiannucci: This week the man who negotiated the Brexit deal resigned because of the deal he negotiated, while the woman who wants to go…",4757,0,0,0
1066721479457472512,2018-11-25 15:53:14,"It's threads like these that remind me, even when I'm frustrated with data I can't analyse or understand, why I cho… https://t.co/fHAN7yPTyD",0,1,0,1
1066650084790673409,2018-11-25 11:09:32,"RT @adamgregorybsc: Delivering a lecture yesterday on Isotopes and Radioactivity, came across this somewhat beautiful quote by Marie Curie:…",5,0,0,0
1065693677656264704,2018-11-22 19:49:07,RT @VFleischfresser: Every child deserves free and equitable access to Music Education. Pupils want music; parents want music; schools want…,4,0,0,0
1065244722426494980,2018-11-21 14:05:07,RT @micky_crawfordX: spend all my money on coffee &amp; it’s getting ridiculous,3,0,0,0
1064621388135350272,2018-11-19 20:48:13,"RT @webmz_: A high school student asked me if she could still be a scientist if she wasn't doing well in her science classes.

I told her s…",1200,0,0,0
1061266925836222464,2018-11-10 14:38:47,RT @scotgov: Deputy First Minister @JohnSwinney has just announced that Scotland will become the first country in the world to have #LGBTI…,11235,0,0,0
1060794545225588736,2018-11-09 07:21:42,"RT @theSTEMsquad: Hey you. Yes you. This is a reminder that you are wonderful, intelligent, and amazing. Imposter syndrome can have you fee…",337,0,0,0
1060480106815283201,2018-11-08 10:32:14,Never been more excited to go home and see my dog this weekend 😍,0,0,0,0
1058881152080138241,2018-11-04 00:38:34,"RT @AstroKatie: There should be a word for those friends whom you love and admire and think of often but never contact, for unexplainable a…",2553,0,0,0
1058837159212474368,2018-11-03 21:43:45,RT @mitchellmoffit: If you get a doctorate in chemistry it should be a pHD instead of a PhD,182,0,0,0
1057377123902676992,2018-10-30 21:02:06,RT @nbc: Generations of Elphabas and Glindas all singing in perfect harmony will change you “For Good”. #Wicked15 https://t.co/1mOdzlusfH,5583,0,1,0
1053236729249964037,2018-10-19 10:49:39,"RT @AstroKatie: There is no ""natural instinct for science."" This is not a thing. There is curiosity, there is exploration, and there is the…",1868,0,0,0
1053028945396940800,2018-10-18 21:03:59,"Eeek! Officially a published author, I can't believe this is what part of my dissertation would lead to! 😄😄 https://t.co/Io7wXYH4SJ",1,15,1,0
1051576592441495553,2018-10-14 20:52:51,"RT @TomZohar: Elphaba: And nobody in all of Oz... no wizard that there is or was... is ever gonna bring... ME... DOWN!

Glinda: I hope you’…",27194,0,0,0
1050502356377526272,2018-10-11 21:44:13,@micky_crawfordX https://t.co/C5XBrc6z5m,0,0,1,0
1049757557202522114,2018-10-09 20:24:39,"RT @MartijnPeters_: Science communication is never a waste of time, is not for self-promotion and has little to do with 'just talent'☝️. If…",187,0,0,0
1047123232128688128,2018-10-02 13:56:47,"RT @NobelPrize: “We need to celebrate women physicists because they’re out there… I’m honoured to be one of those women,"" says Donna Strick…",8279,0,0,0
1043053440040148994,2018-09-21 08:24:53,RT @AstroKatie: I want to make you dizzy,445,0,0,0
1040942257992617984,2018-09-15 12:35:48,"RT @heysciencesam: If you're hating on scicomm, chances are: 
1) you're not the target audience 
2) you don't ACTUALLY get why scicomm is i…",31,0,0,0
1038525391634419713,2018-09-08 20:32:02,@JennyWard_x Thank you beautiful 😘 and the same for you starting your postgrad too! You're gonna smash this! 💕,0,1,0,0
1037727305735569409,2018-09-06 15:40:44,I start my PhD on Monday and my stress levels are like 110%,0,4,0,0
1036324584587513859,2018-09-02 18:46:49,RT @chaudr8: Thank you @EliseGravel for such an accurate representation of #scientists . https://t.co/taAj9iuaF7,2878,0,1,0
1035875144764469248,2018-09-01 13:00:54,RT @AstroKatie: It is Friday night and I feel the need to tell you a thing about being stardust,1244,0,0,0
1033783210075992065,2018-08-26 18:28:18,RT @thephysicsgirl: Yes. And we should make sure more of our young women believe they can be good at it too. https://t.co/rBV5BB9MFP,169,0,0,1
1030752990888701954,2018-08-18 09:47:18,RT @Constababble: We often talk about the importance of women as role models for girls. This IS very important! But consider women as role…,870,0,0,0
1029731397420892161,2018-08-15 14:07:51,RT @SarahDuggers: Omg who made this masterpiece? https://t.co/wnXToTLSYr,62056,0,1,0
1027190834972844032,2018-08-08 13:52:33,"RT @Lin_Manuel: There are children back at home
And the children have got to be fed
And you’re lucky to be in a job
VALJEAN: FACE FULL OF B…",953,0,0,0
1019346139198509056,2018-07-17 22:20:32,"Still can't quite get over that I'm going to be a coauthor for THREE papers from the work I did for my dissertation, eeeeeeeeek!!😁😁😁",0,8,0,0
1018092331067756545,2018-07-14 11:18:21,Had a dream that I met @Whalewatchmeplz and @mitchellmoffit and their puppy and we all went ziplining and it was le… https://t.co/HXbrY1KJEi,0,7,0,1
1014913261286969346,2018-07-05 16:45:52,RT @Paleophile: Getting a PhD *is* a job. https://t.co/tN50daNQ3v,870,0,0,1
1012438155650326528,2018-06-28 20:50:41,"RT @DrJenGunter: What reduces abortions? 
Free, accessible contraception.
That’s it.
Study after study tells us this.
Laws simple penalize…",11786,0,0,0
1009848807583047681,2018-06-21 17:21:32,"RT @mostlybree: I will be your friend if we have a difference of opinion over the best way to solve education or tax problems.

If you want…",1674,0,0,0
1006624819704750080,2018-06-12 19:50:33,RT @RyanSesselman: She’s tough. But she’s worth it https://t.co/iBg7XMQdhL,1042705,0,1,0
1000447169294462977,2018-05-26 18:42:47,@HannaaahD I’m not sure how warm the water would be though hahahah when I went in April it was like 25C but the water was freezing 😂,1,0,0,0
1000447066605281280,2018-05-26 18:42:22,"@HannaaahD Gdańsk is also really lovely! Loads of history and super pretty! It is more of a harbour city, but you c… https://t.co/Au5O3UoDgD",0,1,0,1
1000121404031950848,2018-05-25 21:08:18,RT @AstroKatie: A surprising amount of research is scavenger hunting through other people’s papers trying to follow nested references until…,451,0,0,0
997474218668326917,2018-05-18 13:49:20,RT @AstroKatie: Sometimes when the world seems awful I bury my head in my science and find hope in the idea that humanity might someday lea…,1667,0,0,0
996126184357457923,2018-05-14 20:32:44,"RT @alexanderirvine: “We need better gender representation in STEM” 

Toy Manufacturers: “.....Sparkle Science?”

#WomenInSTEM #EveryDaySex…",10,0,0,0
994667416985702400,2018-05-10 19:56:06,RT @AsapSCIENCE: 😢 (@SciBry) https://t.co/cxKB9tCsOF,234,0,1,0
993240209176264704,2018-05-06 21:24:54,RT @mitchellmoffit: Most of life isn't zero sum. Just because someone else wins doesn't mean you lose. Sometimes that person needs the frui…,32,0,0,0
985996908987650050,2018-04-16 21:42:36,"RT @docfreeride: If academics' focus on publishing in journals was not so driven by jobs/grants/tenure/promotion, what kinds of conversatio…",716,0,0,0
985265755699793921,2018-04-14 21:17:16,RT @neiltyson: Scientists are simply adults who retained and nurtured their native curiosity from childhood.,13949,0,0,0
984785456016580608,2018-04-13 13:28:43,"I’d have thought that after spending my whole life moving around I’d be a bit better at goodbyes, but no. This is horrible and I hate it 😔😔😔",0,0,0,0
983461143644696578,2018-04-09 21:46:23,RT @jesswade: Cumin (cuminaldehyde) and turmeric (curcumin) have nearly identical chemical structures but one is fluorescent in UV light an…,153,0,0,0
983058103615787008,2018-04-08 19:04:50,"RT @neiltyson: Newton’s 3rd law of motion, “For every action there is an equal and opposite reaction” poeticized: “You cannot touch without…",14925,0,0,0
982198945689423872,2018-04-06 10:10:51,"RT @Petersbrooking: There used to be four police stations in Hackney.  There is now one.  And who closed them all?  Boris Johnson.

And who…",10331,0,0,0
978944649577541632,2018-03-28 10:39:27,I just think it’s so important to be supportive of other people’s career choices/passion regardless of what it is a… https://t.co/mMCdhoY9gs,0,1,0,1
978943909857460225,2018-03-28 10:36:30,Whilst its been amazing meeting so many new people in the past few months ive found that when we’re introducing our… https://t.co/57NwAVoeF8,0,1,0,1
977126856829829120,2018-03-23 10:16:11,#CzarnyPiątek #StopTheBan https://t.co/3XfJRXbZuj,0,0,1,0
976178323687698432,2018-03-20 19:27:03,"RT @AstroKatie: “We need more science and scientists in popular culture, more daily coverage so it does not become some otherness created b…",198,0,0,0
973848385374621696,2018-03-14 09:08:42,"RT @newscientist: Stephen Hawking has died aged 76. He was an icon for many reasons, but as we remember Stephen Hawking, his remarkable con…",1169,0,0,0
973834395886018563,2018-03-14 08:13:07,RT @astro_timpeake: He inspired generations to look beyond our own blue planet and expand our understanding of the universe. His personalit…,3296,0,0,0
973828857085218816,2018-03-14 07:51:07,"""However difficult life may seem, there is always something you can do and succeed at. 
It matters that you don’t j… https://t.co/VBaGLpbvgl",1,6,0,1
973827858907967488,2018-03-14 07:47:09,"RT @AsapSCIENCE: Thank you Stephen Hawking
For showing us your mind
For showing us the universe
We'll never forget you. https://t.co/hMWdCK…",2371,0,0,0
973168039100321792,2018-03-12 12:05:15,RT @rosalarian: Hey girl have the whole pie https://t.co/JMcQJjQ8l9,591,0,1,0
972775597326897152,2018-03-11 10:05:50,RT @ProfBrianCox: I love the rather out of fashion in modern textbooks ‘Now any fool can see that ....’ https://t.co/WYibWr8bov,781,0,0,1
971774653520900096,2018-03-08 15:48:26,Happy International Women’s day ft my fave instrument 👩🏼‍🔬#WomenInScience #XRDlife https://t.co/zbDwyKDxfD,0,4,1,0
971764123523567617,2018-03-08 15:06:36,"RT @esa: Today, 8 March, in support of International #WomensDay we'll be profiling just some of our many #WomenForSpace, starting with Astr…",234,0,0,0
969563338932973568,2018-03-02 13:21:28,RT @1aprildaniels: Let's get one thing clear: armed Jews DID fight the Nazis. They were not passive victims. Nazi soldiers died in ambushes…,5217,0,0,0
968213496855957504,2018-02-26 19:57:40,"RT @Harkaway: Here is a thing I will tell you that is real. I do not often talk about my kids online, because they are small and they do no…",5875,0,0,0
963778999922184192,2018-02-14 14:16:34,RT @isabelzawtun: Do u know what a tampon is https://t.co/U45o01JH6Z,10243,0,0,1
963017223194468352,2018-02-12 11:49:32,Yorkshire Tea is just the highest class of all tea ☕️,0,1,0,0
961930412741332992,2018-02-09 11:50:56,Had such a difficult decision to make this week however in October I will officially be starting my PhD in Liverpoo… https://t.co/iflsgmJ7ye,0,3,0,1
960874194472001537,2018-02-06 13:53:54,I hate making decisions 😭😭😭😭,0,0,0,0
960874135537750017,2018-02-06 13:53:40,My standard grades were chosen by which classes had spaces when I joined in the middle of the year.. and I went to… https://t.co/U9GemF9wDy,0,0,0,1
960873768985006080,2018-02-06 13:52:13,"The scariest thing about graduating is that I have to actually make a decision with my life, looking back I don't a… https://t.co/AnaRuaUQ2O",0,0,0,1
960864535547645952,2018-02-06 13:15:31,RT @iamsheajenkins: Women would rather have affordable feminine hygiene products and contraception but instead we get Lady Doritos.,67745,0,0,0
957732193538859008,2018-01-28 21:48:43,"RT @sunnivaholmes: @AstroKatie Art is intelligent, science is creative! These things are not mutually exclusive, and making them so sells b…",1,0,0,0
957731205759340544,2018-01-28 21:44:47,RT @AstroKatie: Doing science involves FAR more creativity (&amp; collaboration) than most people have been led to believe https://t.co/HNW3hWL…,252,0,0,0
956080515290943488,2018-01-24 08:25:32,"I have to give a small seminar about some liquid crystal research tomorrow, I know very little about liquid crystal… https://t.co/Yqvcbjxe2M",0,2,0,1
952248557251284992,2018-01-13 18:38:42,"I went to the most beautiful Chopin concert this evening at this little venue, it was like having the concert to ou… https://t.co/X8aLewWzKL",0,2,0,1
951779212087758848,2018-01-12 11:33:42,On the plus side I just ordered a latte in polish so I must be getting somewhere ☕️ https://t.co/VGtT3VZAvh,0,0,0,1
951726690820116482,2018-01-12 08:04:59,"Downside of not knowing a language, accidentally bought a carton of yogurt instead of milk 👍🏻👍🏻",0,0,0,0
949385187053461504,2018-01-05 21:00:41,RT @Oceancottage45: This is absolutely shocking. Music is an invaluable subject with clear cross-curricular benefits. It brings people toge…,1,0,0,0
948888102839480322,2018-01-04 12:05:27,I leave for Poland in two days and I still haven't packed my suitcase. How does one fit their life into one suitcase? 😬😬,0,1,0,0
946686985997086720,2017-12-29 10:19:00,RT @mitchellmoffit: IMAGINE being the president without being able to grasp the concept of WEATHER vs CLIMATE. https://t.co/Cv5arcQ82J,631,0,0,1
945669444315025411,2017-12-26 14:55:39,RT @catspaperbacks: Retweet if you’re an adult who uses the library https://t.co/aGXhiz609K,62736,0,0,1
